row,col,address,.value,quarter,quarter_source,region,region_source
3,2,R3C2,10,Q1,R2C2,North,R3C1
3,3,R3C3,11,Q1,R2C2,North,R3C1
3,4,R3C4,12,Q2,R2C4,North,R3C1
3,5,R3C5,13,Q2,R2C4,North,R3C1
4,2,R4C2,14,Q1,R2C2,North,R3C1
4,3,R4C3,15,Q1,R2C2,North,R3C1
4,4,R4C4,16,Q2,R2C4,North,R3C1
4,5,R4C5,17,Q2,R2C4,North,R3C1
5,2,R5C2,20,Q1,R2C2,South,R5C1
5,3,R5C3,21,Q1,R2C2,South,R5C1
5,4,R5C4,22,Q2,R2C4,South,R5C1
5,5,R5C5,23,Q2,R2C4,South,R5C1
6,2,R6C2,24,Q1,R2C2,South,R5C1
6,3,R6C3,25,Q1,R2C2,South,R5C1
6,4,R6C4,26,Q2,R2C4,South,R5C1
6,5,R6C5,27,Q2,R2C4,South,R5C1
