publication_vintage_date,reference_date,principal_offence_id,aggregate_sentence_length_id,court_level_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_aggregate_sentence_length,raw_court_level,raw_jurisdiction
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,ACT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R177C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",Australian Capital Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,AUS,defendant-count,person,115,observed,115,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R8C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,NSW,defendant-count,person,40,observed,40,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R44C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",New South Wales
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,NT,defendant-count,person,5,observed,5,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R158C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",Northern Territory
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,QLD,defendant-count,person,21,observed,21,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R82C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",Queensland
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,SA,defendant-count,person,7,observed,7,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R101C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",South Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,TAS,defendant-count,person,3,observed,3,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R139C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",Tasmania
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,VIC,defendant-count,person,12,observed,12,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R63C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",Victoria
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,WA,defendant-count,person,19,observed,19,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R120C8,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,10 years & over,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",Western Australia
2022-06-30,2022-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,LENGTH_1_TO_UNDER_2_YEARS,ALL_COURTS,ACT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 66,R177C5,sha256:d7a359803b7fa31535cdf41654c98df610f971ffbe54fb6e14cc49601a46017e,criminal-courts-australia,sha256:522a2cfb2612080c83926fa78c2c70954f769ceddb284cf46f0f16538197f413,tidy.table-family-acceptance/v1,sha256:62c645726b82b3a765c6daeb6881c73f52d3661c66729e477133a63f65b300a5,sha256:8c78731262dfce67d6173a22621b3317beff4d4b4d26d04dbf05219f615d1f35,sha256:41b9ac419b0ac1f0822a4e2355c5ea3056f85b9191d83220e7cac3a5d315f00c,human-authored/deterministic-map-v1,replay:sha256:a90e18d988a44fad5a07da265d6937e578b1fd8b722ebe5c5075897c156ccd22,01 Homicide and related offences,1 to under 2 years,"Table 66 Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2021–22",Australian Capital Territory
