publication_vintage_date,reference_date,principal_offence_id,aggregate_sentence_length_id,court_level_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_aggregate_sentence_length,raw_court_level,raw_jurisdiction
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,LENGTH_1_YEAR_AND_OVER,CHILDRENS_COURTS,AUS,defendant-count,person,37,observed,37,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R9C5,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,  021 Assault,1 year & over,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,LENGTH_3_TO_UNDER_6_MONTHS,CHILDRENS_COURTS,AUS,defendant-count,person,57,observed,57,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R9C3,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,  021 Assault,3 to under 6 months,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,LENGTH_6_TO_UNDER_12_MONTHS,CHILDRENS_COURTS,AUS,defendant-count,person,61,observed,61,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R9C4,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,  021 Assault,6 to under 12 months,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,LENGTH_MEAN,CHILDRENS_COURTS,AUS,sentence-mean-duration,month,6.5,observed,6.5,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R9C7,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,  021 Assault,Mean,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,LENGTH_MEDIAN,CHILDRENS_COURTS,AUS,sentence-median-duration,month,5,observed,5,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R9C8,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,  021 Assault,Median,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,LENGTH_TOTAL,CHILDRENS_COURTS,AUS,defendant-count,person,230,observed,230,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R9C6,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,  021 Assault,Total,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_021_ASSAULT,LENGTH_UNDER_3_MONTHS,CHILDRENS_COURTS,AUS,defendant-count,person,58,observed,58,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R9C2,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,  021 Assault,Under 3 months,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_02_ACTS_INTENDED_TO_CAUSE_INJURY,LENGTH_1_YEAR_AND_OVER,CHILDRENS_COURTS,ACT,defendant-count,person,0,observed,0,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R82C5,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,02 Acts intended to cause injury,1 year & over,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australian Capital Territory
2022-06-30,2022-06-30,ANZSOC_2011_02_ACTS_INTENDED_TO_CAUSE_INJURY,LENGTH_1_YEAR_AND_OVER,CHILDRENS_COURTS,AUS,defendant-count,person,37,observed,37,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R8C5,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,02 Acts intended to cause injury,1 year & over,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",Australia
2022-06-30,2022-06-30,ANZSOC_2011_02_ACTS_INTENDED_TO_CAUSE_INJURY,LENGTH_1_YEAR_AND_OVER,CHILDRENS_COURTS,NSW,defendant-count,person,18,observed,18,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 69,R19C5,sha256:c09e0cfee19401b14c96f0f8c473eae1eb1e479e919166181874dca962382a4b,criminal-courts-australia,sha256:c7ed8290b8a469fc22120d5108ebcc3dc77ee0d32c67748198e491b303c5ec45,tidy.table-family-acceptance/v1,sha256:9c321674d7a4f1de285e747c3602cd92e4d7e4b6705e4e7b182d9d25cffc1e19,sha256:6dca766e5619a4175c2b451e90ce51132363e48f41a6a90acfa5fda86ad98fee,sha256:45d606691fc07cba183476f0dcb7363c1ee04a39e6680a9a127bf317d1b3f5d8,human-authored/deterministic-map-v1,replay:sha256:3917d401901da0be95b2a64116ed11e81e4f10eaf771f0208619930f17698bfa,02 Acts intended to cause injury,1 year & over,"Table 69 Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2021–22",New South Wales
