publication_vintage_date,reference_date,principal_offence_id,aggregate_sentence_length_id,court_level_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_aggregate_sentence_length,raw_court_level,raw_jurisdiction
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_1_TO_UNDER_2_YEARS,MAGISTRATES_COURTS,AUS,defendant-count,person,2070,observed,2070,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C5,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,1 to under 2 years,"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_2_YEARS_AND_OVER,MAGISTRATES_COURTS,AUS,defendant-count,person,308,observed,308,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C6,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,2 years & over,"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_3_TO_UNDER_6_MONTHS,MAGISTRATES_COURTS,AUS,defendant-count,person,1408,observed,1408,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C3,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,3 to under 6 months,"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_6_TO_UNDER_12_MONTHS,MAGISTRATES_COURTS,AUS,defendant-count,person,2265,observed,2265,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C4,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,6 to under 12 months,"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_MEAN,MAGISTRATES_COURTS,AUS,sentence-mean-duration,month,9.5,observed,9.5,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C9,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,Mean(c),"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_MEDIAN,MAGISTRATES_COURTS,AUS,sentence-median-duration,month,9,observed,9,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C10,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,Median(c),"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_NO_FURTHER_PENALTY_DUE_TO_TIME_SPENT_IN_CUSTODY,MAGISTRATES_COURTS,AUS,defendant-count,person,119,observed,119,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C7,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,No further penalty due to time spent in custody(a),"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_TOTAL,MAGISTRATES_COURTS,AUS,defendant-count,person,6770,observed,6770,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C8,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,Total(b),"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,LENGTH_UNDER_3_MONTHS,MAGISTRATES_COURTS,AUS,defendant-count,person,591,observed,591,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R9C2,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,021 Serious assault,Under 3 months,"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australia
2025-06-30,2025-06-30,ANZSOC_2023_02_ASSAULT,LENGTH_1_TO_UNDER_2_YEARS,MAGISTRATES_COURTS,ACT,defendant-count,person,5,observed,5,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 81,R143C5,sha256:36a05045fa6a561e86a082506b5cda2dd8f10187392be6e68cda8c51feb340b4,criminal-courts-australia,sha256:6d175a2e1663753d0f2c4f4582fd60f90d55a4cd2a256aed75a246637074a238,tidy.table-family-acceptance/v1,sha256:7f9a80fabe12134b561b071ad704f2cbaaf134c6e82642a3dabbd958cc140955,sha256:f7353608233b3841584080c600c732ed856093ffcf69b0256e4260d9b92dccb9,sha256:b26bc900e7b163102ebed232aa992ad0cf1d2a007809c7263ce84a1ee30ee4a8,human-authored/deterministic-map-v1,replay:sha256:f1b2821bdcea6fe154e3bb37cf5975cb948e33d3da12f35caef08ee575e74324,02 Assault,1 to under 2 years,"This tab contains defendants sentenced to custody in a correctional institution by selected principal offence, state/territory and sentence length – Magistrates' Courts, 2024–25. It ranges from cell A1 to J168.",Australian Capital Territory
