publication_vintage_date,reference_date,characteristic_category_id,sex_id,method_of_finalisation_id,observation_period_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_sex,raw_method_of_finalisation,raw_observation_period,raw_court_level
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,METHOD_ACQUITTED,2022-06-30,CHILDRENS_COURTS,defendant-count,person,70,observed,70,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R133C2,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Females,Acquitted,2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,METHOD_GUILTY_OUTCOME,2022-06-30,CHILDRENS_COURTS,defendant-count,person,979,observed,979,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R133C3,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Females,Guilty outcome,2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,METHOD_TOTAL,2022-06-30,CHILDRENS_COURTS,defendant-count,person,1441,observed,1441,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R133C7,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Females,Total,2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,METHOD_TOTAL_ADJUDICATED,2022-06-30,CHILDRENS_COURTS,defendant-count,person,1050,observed,1050,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R133C4,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Females,"Total
adjudicated",2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,2022-06-30,CHILDRENS_COURTS,defendant-count,person,50,observed,50,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R133C5,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Females,Transfer to other court levels,2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,METHOD_WITHDRAWN_BY_PROSECUTION,2022-06-30,CHILDRENS_COURTS,defendant-count,person,263,observed,263,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R133C6,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Females,Withdrawn by prosecution,2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,MALE,METHOD_ACQUITTED,2022-06-30,CHILDRENS_COURTS,defendant-count,person,199,observed,199,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R126C2,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Males,Acquitted,2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,MALE,METHOD_GUILTY_OUTCOME,2022-06-30,CHILDRENS_COURTS,defendant-count,person,2228,observed,2228,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R126C3,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Males,Guilty outcome,2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,MALE,METHOD_TOTAL,2022-06-30,CHILDRENS_COURTS,defendant-count,person,3518,observed,3518,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R126C7,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Males,Total,2020–21,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,MALE,METHOD_TOTAL_ADJUDICATED,2022-06-30,CHILDRENS_COURTS,defendant-count,person,2427,observed,2427,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 5,R126C4,sha256:192b7dc2c98b516240a364f4a98099108d9268354c98e465467a7d808740ee67,criminal-courts-australia,sha256:25340256b35cd426367ecafafcdf7a5a880ecee15a38b24ad1843258d871817a,tidy.table-family-acceptance/v1,sha256:c04bf855f06e3a9635ea83f5bb2568d33cd2cdb0801ce4f4735e949a67162898,sha256:d468f8cc9f5493385eb2288a77a68b8ff969918c6085d022b5bec89f7deb84bf,sha256:485460e7b928c3ed4b85c8f6a52c6c938853fefa3da89bc3a85a86cd5624d56c,human-authored/deterministic-map-v1,replay:sha256:df7dafcdf51d04678959e4c71c4a3cdd5878d64929e2e85185b94a6c418e0169,10–14 years,Males,"Total
adjudicated",2020–21,Children's Courts
