publication_vintage_date,reference_date,characteristic_category_id,sex_id,principal_offence_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_sex,raw_principal_offence,raw_court_level
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_01,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C2,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females, 01 Homicide and related offences,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_02,CHILDRENS_COURTS,defendant-count,person,552,observed,552,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C3,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,02 Acts intended to cause injury,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_03,CHILDRENS_COURTS,defendant-count,person,3,observed,3,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C4,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,03 Sexual assault and related offences,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_04,CHILDRENS_COURTS,defendant-count,person,19,observed,19,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C5,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,04 Dangerous/ negligent acts,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_05,CHILDRENS_COURTS,defendant-count,person,16,observed,16,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C6,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,05 Abduction/ harassment,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_06,CHILDRENS_COURTS,defendant-count,person,83,observed,83,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C7,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,06 Robbery/ extortion,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_07,CHILDRENS_COURTS,defendant-count,person,178,observed,178,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C8,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,07 Unlawful entry with intent,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_08,CHILDRENS_COURTS,defendant-count,person,395,observed,395,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C9,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,08 Theft,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_09,CHILDRENS_COURTS,defendant-count,person,24,observed,24,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C10,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,09 Fraud/ deception,Children's Courts
2022-06-30,2022-06-30,CHAR_10_14_YEARS,FEMALE,ANZSOC2011_10,CHILDRENS_COURTS,defendant-count,person,10,observed,10,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 3,R132C11,sha256:f8a5402131fd6a5a45b821e36d5d1b103a400cf2b21d93ba0111dd8bee870f98,criminal-courts-australia,sha256:358e599a2f8c0573efdec5759e8e37d6a00299f3ffcad97b40ca77a39ae1dd96,tidy.table-family-acceptance/v1,sha256:3692ada28e82ad0bd4a73176ad501ee359bdf313ec18f8f3b99b518af47c5b50,sha256:03fae4add37defaea01fc4b2f84d792a64b35048a90588ce825d61e34ca16bb1,sha256:34414f2d58154a5a8d6fe9fa0b50fdba2790514b34d06830ee0b922897aac47f,human-authored/deterministic-map-v1,replay:sha256:fc93f10f5c15a3cc2f97a7b14c6994907cbb381fb006dfc2ba1f33983b7a2287,10–14 years,Females,10 Illicit drug offences,Children's Courts
