publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level
2022-06-30,2012-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,ALL_COURTS,defendant-count,person,639,observed,639,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R26C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,01 Homicide and related offences,Principal offence,2010–11,All Courts
2022-06-30,2012-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,CHILDRENS_COURTS,defendant-count,person,15,observed,15,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R271C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,01 Homicide and related offences,Principal offence,2010–11,Children's Courts
2022-06-30,2012-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,HIGHER_COURTS,defendant-count,person,456,observed,456,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R107C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,01 Homicide and related offences,Principal offence,2010–11,Higher Courts
2022-06-30,2012-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,MAGISTRATES_COURTS,defendant-count,person,170,observed,170,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R188C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,01 Homicide and related offences,Principal offence,2010–11,Magistrates' Courts
2022-06-30,2012-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,ALL_COURTS,defendant-count,person,61591,observed,61591,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R28C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,021 Assault,Principal offence,2010–11,All Courts
2022-06-30,2012-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,CHILDRENS_COURTS,defendant-count,person,6583,observed,6583,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R273C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,021 Assault,Principal offence,2010–11,Children's Courts
2022-06-30,2012-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,HIGHER_COURTS,defendant-count,person,3451,observed,3451,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R109C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,021 Assault,Principal offence,2010–11,Higher Courts
2022-06-30,2012-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,MAGISTRATES_COURTS,defendant-count,person,51551,observed,51551,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R190C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,021 Assault,Principal offence,2010–11,Magistrates' Courts
2022-06-30,2012-06-30,CHAR_0291_STALKING,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,ALL_COURTS,defendant-count,person,3281,observed,3281,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R30C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,0291 Stalking,Principal offence,2010–11,All Courts
2022-06-30,2012-06-30,CHAR_0291_STALKING,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,CHILDRENS_COURTS,defendant-count,person,234,observed,234,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R275C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,0291 Stalking,Principal offence,2010–11,Children's Courts
2022-06-30,2012-06-30,CHAR_0291_STALKING,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,HIGHER_COURTS,defendant-count,person,55,observed,55,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R111C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,0291 Stalking,Principal offence,2010–11,Higher Courts
2022-06-30,2012-06-30,CHAR_0291_STALKING,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,MAGISTRATES_COURTS,defendant-count,person,2997,observed,2997,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R192C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,0291 Stalking,Principal offence,2010–11,Magistrates' Courts
2022-06-30,2012-06-30,CHAR_029_OTHER_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,ALL_COURTS,defendant-count,person,3375,observed,3375,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R29C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,029 Other acts intended to cause injury,Principal offence,2010–11,All Courts
2022-06-30,2012-06-30,CHAR_029_OTHER_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,CHILDRENS_COURTS,defendant-count,person,252,observed,252,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R274C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,029 Other acts intended to cause injury,Principal offence,2010–11,Children's Courts
2022-06-30,2012-06-30,CHAR_029_OTHER_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,HIGHER_COURTS,defendant-count,person,67,observed,67,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R110C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,029 Other acts intended to cause injury,Principal offence,2010–11,Higher Courts
2022-06-30,2012-06-30,CHAR_029_OTHER_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,MAGISTRATES_COURTS,defendant-count,person,3052,observed,3052,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R191C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,029 Other acts intended to cause injury,Principal offence,2010–11,Magistrates' Courts
2022-06-30,2012-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,ALL_COURTS,defendant-count,person,64959,observed,64959,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R27C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,02 Acts intended to cause injury,Principal offence,2010–11,All Courts
2022-06-30,2012-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,CHILDRENS_COURTS,defendant-count,person,6835,observed,6835,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R272C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,02 Acts intended to cause injury,Principal offence,2010–11,Children's Courts
2022-06-30,2012-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2012-06-30,HIGHER_COURTS,defendant-count,person,3519,observed,3519,sha256:a541909bfe1a7f44d214e9ae870bb33e6c43feb181f73b07ed5f930d0cdd8b8c,Table 1,R108C2,sha256:57702ac75608fd07357a8a04f13b0cc4084bb2d887abbe2a85255517e82c6e7e,criminal-courts-australia,sha256:a36dcfedf5c07cd9416b33f3b7f2b7cf8677924f81e7cb779bcababd9c445df2,tidy.table-family-acceptance/v1,sha256:157f597ab43814ffd4c1745a928138b9a755483536af2ef1d0dad14c2f5da4a4,sha256:7ed8c164e4757fa2384357efee10272c2f6fda03a704da7902342dc6cee8175e,sha256:bdf4e653a514715abb610d23bc0a4b2ee9b889d8613a16baa9054e5173fc0eab,human-authored/deterministic-map-v1,replay:sha256:a2daa859f0351865a3195621990db78295351ba08e631f2ce5551f777a14f86a,02 Acts intended to cause injury,Principal offence,2010–11,Higher Courts
