publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2025-06-30,2020-06-30,CHAR_10_19_YEARS,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,95,observed,95,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R16C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,10–19 years,Age,2019–20(a),10–19 years,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_20_24_YEARS,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,265,observed,265,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R17C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,20–24 years,Age,2019–20(a),20–24 years,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_25_29_YEARS,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,425,observed,425,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R18C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,25–29 years,Age,2019–20(a),25–29 years,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_30_34_YEARS,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,557,observed,557,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R19C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,30–34 years,Age,2019–20(a),30–34 years,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_35_39_YEARS,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,510,observed,510,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R20C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,35–39 years,Age,2019–20(a),35–39 years,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_40_44_YEARS,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,435,observed,435,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R21C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,40–44 years,Age,2019–20(a),40–44 years,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_45_49_YEARS,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,272,observed,272,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R22C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,45–49 years,Age,2019–20(a),45–49 years,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_50_54_YEARS,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,156,observed,156,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R23C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,50–54 years,Age,2019–20(a),50–54 years,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_55_YEARS_AND_OVER,GROUP_AGE,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,115,observed,115,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R24C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,55 years and over,Age,2019–20(a),55 years and over,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
2025-06-30,2020-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2020-06-30,COUNT,WA,FDV_BREACH_OF_RESTRAINING_ORDER_VIOLENCE_EXPERIMENTAL,defendant-count,person,24,observed,24,sha256:a7de3c6f4ee210460ffcadcdded5f4d1b654220c97b3037383b88f2e9d8d8289,FDV Table 23,R31C2,sha256:1361019a0a68f194a6804e1dc2cad69d29a93fa9d5ec1745487a2b0300b24a81,criminal-courts-australia,sha256:7cb0f7028700590b592b1e5c4f41192f22b324034e66a10cb3a0afc2225ffbd4,tidy.table-family-acceptance/v2,sha256:210929bec7bae4d7a543c757433ed17c899d3e4954287d62bc2d4abd79f66f27,sha256:54c4859132df00d5896cd9bcc577fd802bded50c920b53ecf967312be45d9f34,sha256:de3e31ebd5d308579d6511cded37833c70d2c733c47723e43f4602b172275d40,human-authored/deterministic-map-v1,replay:sha256:fc27ae6cd8af3d98be4ca77353147604c24faec7c6b6507ded9bb8b560f24a9a,Acquitted,Method of finalisation,2019–20(a),Acquitted,"FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25","FDV Table 23 Experimental data – Family and domestic violence defendants finalised, Breach of restraining order – violence, Western Australia, 2019–20 to 2024–25"
