publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2022-06-30,2019-06-30,CHAR_10_19_YEARS,GROUP_AGE,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,98,observed,98,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R17C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,10–19 years,Age,2018–19,10–19 years,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_20_29_YEARS,GROUP_AGE,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,765,observed,765,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R18C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,20–29 years,Age,2018–19,20–29 years,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_30_39_YEARS,GROUP_AGE,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,1037,observed,1037,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R19C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,30–39 years,Age,2018–19,30–39 years,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_40_49_YEARS,GROUP_AGE,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,632,observed,632,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R20C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,40–49 years,Age,2018–19,40–49 years,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_50_59_YEARS,GROUP_AGE,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,175,observed,175,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R21C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,50–59 years,Age,2018–19,50–59 years,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_60_YEARS_AND_OVER,GROUP_AGE,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,45,observed,45,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R22C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,60 years and over,Age,2018–19,60 years and over,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,33,observed,33,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R29C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,Acquitted,Method of finalisation,2018–19,Acquitted,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,2616,observed,2616,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R28C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,Adjudicated outcomes,Method of finalisation,2018–19,Adjudicated outcomes,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_CHILDREN_S,GROUP_COURT_LEVEL,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,37,observed,37,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R10C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,Children's,Court level,2018–19,Children's,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_PRINCIPAL_SENTENCE,2019-06-30,COUNT,WA,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,227,observed,227,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 19,R42C2,sha256:74c96df786bb1f74b10e76f4d216a7b3fe8819926e38b62693dee105a8bf1e73,criminal-courts-australia,sha256:9e54de42defd3ded334d70002b4f5d3d6e3707b282f1f725b6e6fa0d65ad4007,tidy.table-family-acceptance/v2,sha256:2de02c2bdc7117c3aaebde749c419a718d441df284a2751b788cb266c883724a,sha256:ba0ff2312decf1aaa93341ea1966651d692288919c420efcf9de07e17d1fffbe,sha256:d63cd2ec42a563611da88265d1a78ca55be05dece6c388c38972fb940f8c0892,human-authored/deterministic-map-v1,replay:sha256:e96242470d78b1a42b298eccb12fbdc558fde735e2321869de874dc1894406bc,Community supervision/ work orders,Principal sentence,2018–19,Community supervision/ work orders,"FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22","FDV Table 19 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Western Australia, 2018–19 to 2021–22"
