publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2022-06-30,2019-06-30,CHAR_10_19_YEARS,GROUP_AGE,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,5,observed,5,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R17C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,10–19 years,Age,2018–19,10–19 years,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_20_29_YEARS,GROUP_AGE,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,25,observed,25,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R18C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,20–29 years,Age,2018–19,20–29 years,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_30_39_YEARS,GROUP_AGE,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,54,observed,54,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R19C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,30–39 years,Age,2018–19,30–39 years,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_40_49_YEARS,GROUP_AGE,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,29,observed,29,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R20C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,40–49 years,Age,2018–19,40–49 years,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_50_59_YEARS,GROUP_AGE,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,11,observed,11,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R21C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,50–59 years,Age,2018–19,50–59 years,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_60_YEARS_AND_OVER,GROUP_AGE,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,0,observed,0,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R22C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,60 years and over,Age,2018–19,60 years and over,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,6,observed,6,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R33C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,Acquitted,Method of finalisation,2018–19,Acquitted,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,114,observed,114,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R32C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,Adjudicated outcomes,Method of finalisation,2018–19,Adjudicated outcomes,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_CHILDREN_S,GROUP_COURT_LEVEL,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,3,observed,3,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R10C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,Children's,Court level,2018–19,Children's,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_COMMUNITY_SUPERVISION_WORK_ORDERS,GROUP_PRINCIPAL_SENTENCE,2019-06-30,COUNT,ACT,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,4,observed,4,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 22,R46C2,sha256:c530424508c54e266d113f4690c16a7caf2987a569108a4bbff2ab4f43dce6dc,criminal-courts-australia,sha256:6e6af927424971135d5089fe4eab92b3fe4c048fc52bf30f43e31f19281a9fe7,tidy.table-family-acceptance/v2,sha256:32f7632f86e3cfbfba009d414a173675f7059ca96cd25f9d122da2942d497084,sha256:a4a769dfd082dca114c45ef896c7261ac83994ff51e1f1cc1e9a4d573e193641,sha256:88394e2a5c1a37f6e374f17ca0cdaa7aca7d9f514b88d4f0c2ef7ea11da53ea0,human-authored/deterministic-map-v1,replay:sha256:dd37d4c08080b854cec16929d67037bbf2f39d977f2a7f9b7ff8cd79140558be,Community supervision/ work orders,Principal sentence,2018–19,Community supervision/ work orders,"FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22","FDV Table 22 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Australian Capital Territory, 2018–19 to 2021–22"
