publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2022-06-30,2019-06-30,CHAR_10_19_YEARS,GROUP_AGE,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,572,observed,572,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R17C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,10–19 years,Age,2018–19,10–19 years,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_20_29_YEARS,GROUP_AGE,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,3998,observed,3998,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R18C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,20–29 years,Age,2018–19,20–29 years,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_30_39_YEARS,GROUP_AGE,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,4319,observed,4319,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R19C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,30–39 years,Age,2018–19,30–39 years,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_40_49_YEARS,GROUP_AGE,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,2775,observed,2775,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R20C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,40–49 years,Age,2018–19,40–49 years,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_50_59_YEARS,GROUP_AGE,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,788,observed,788,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R21C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,50–59 years,Age,2018–19,50–59 years,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_60_YEARS_AND_OVER,GROUP_AGE,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,184,observed,184,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R22C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,60 years and over,Age,2018–19,60 years and over,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_ABORIGINAL_AND_TORRES_STRAIT_ISLANDER,GROUP_INDIGENOUS_STATUS,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,3764,observed,3764,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R27C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,Aboriginal and Torres Strait Islander,Indigenous status,2018–19,Aboriginal and Torres Strait Islander,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,107,observed,107,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R33C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,Acquitted,Method of finalisation,2018–19,Acquitted,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_ADJUDICATED_OUTCOMES,GROUP_METHOD_OF_FINALISATION,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,11725,observed,11725,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R32C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,Adjudicated outcomes,Method of finalisation,2018–19,Adjudicated outcomes,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
2022-06-30,2019-06-30,CHAR_CHILDREN_S,GROUP_COURT_LEVEL,2019-06-30,COUNT,QLD,FDV_BREACH_OF_VIOLENCE_ORDERS_EXPERIMENTAL,defendant-count,person,116,observed,116,sha256:d6020cde88de403d1c86dee430db6000949d7eb87c29c05f0e9dd673f2149ac5,FDV Table 17,R10C2,sha256:13c7007b2c5f32691aa73bb36000fa15752a2ece850783222ab2b4200da2dbe7,criminal-courts-australia,sha256:36ce02e6b5388824625b0328547c986b2b9b2276828ef66d958c4ff161b77189,tidy.table-family-acceptance/v2,sha256:a6609027f2273e56b443cd3c01ca2f4a73f3aeb25bf5233394aabc370485f19f,sha256:1cfd75138cbc08b6f48678fe2c9958a3b95fdd05b71f306fefd8229d7a96dfd2,sha256:3958644afbce5a7e5414e9ce7b8bb25eba90bc3a07640d83fdbfccd2101354c2,human-authored/deterministic-map-v1,replay:sha256:58a2a459129e795313ec737dc2139d1bb5e1f4fb9b1e20a915856af373014f0c,Children's,Court level,2018–19,Children's,"FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22","FDV Table 17 – Experimental data – Family and domestic violence defendants finalised, Breach of violence orders, Summary characteristics, Queensland, 2018–19 to 2021–22"
