publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,0,observed,0,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C2,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,01 Homicide and related offences,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,37,observed,37,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C4,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,021 Assault,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,0,observed,0,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C8,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,44,observed,44,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C3,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,02 Acts intended to cause injury,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,0,observed,0,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C5,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,03 Sexual assault and related offences,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,0,observed,0,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C6,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,0,observed,0,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C7,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,05 Abduction/ harassment,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,8,observed,8,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C9,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,121 Property damage,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,8,observed,8,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C10,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,1531 Breach of violence order,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
2024-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,SA,FDV_EXPERIMENTAL_RELEASE_2023_24,defendant-count,person,60,observed,60,sha256:52118023aefddf18a8197ea44c2de441050383c083d1505c99a41e0fd2a146fc,FDV Table 9,R204C11,sha256:74c048aa9461b1028b94f15461940331bbadccdbc0b515496f06665a83c1e021,criminal-courts-australia,sha256:1a5aafa975e95c777889ec37f111e1ef9b6893495537c83f4638bf7687636831,tidy.table-family-acceptance/v2,sha256:e673aef2f0e083c9d6b4af02f8968eb71cc9b1a7bc04840c108ead1a9527fc65,sha256:3014763efa24308ceecb49df21de670542b9f4dd28b43bd31d258ee01e4d17a3,sha256:5b7ebcb39916d767e3efee925a321bfaae00833b5ee2c581a9e9f79bea6db840,human-authored/deterministic-map-v1,replay:sha256:b1f956401908a622152e7726fd0a39d6086a50650e7ca0af36ce20bcc4466373,10–19 years,10–19 years,2019–20,Total,Age,"FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24","FDV Table 9 Experimental data – Family and domestic violence defendants finalised, Summary characteristics by principal FDV offence, South Australia, 2019–20 to 2023–24"
