publication_vintage_date,reference_date,characteristic_category_id,statistic_basis_id,observation_period_id,principal_offence_id,characteristic_group_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_statistic_basis,raw_observation_period,raw_principal_offence,raw_characteristic_group,raw_jurisdiction,raw_classification_context
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C2,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,01 Homicide and related offences,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_021_ASSAULT,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,121,observed,121,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C4,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,021 Assault,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_0291_STALKING_AND_053_HARASSMENT_AND_THREATENING_BEHAVIOUR,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,3,observed,3,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C8,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20, 0291 Stalking & 053 Harassment and threatening behaviour,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,123,observed,123,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C3,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,02 Acts intended to cause injury,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,10,observed,10,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C5,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,03 Sexual assault and related offences,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_049_OTHER_DANGEROUS_OR_NEGLIGENT_ACTS,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,6,observed,6,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C6,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,049 Other dangerous or negligent acts,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,0,observed,0,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C7,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,05 Abduction/ harassment,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_121_PROPERTY_DAMAGE,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,49,observed,49,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C9,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,121 Property damage,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_1531_BREACH_OF_VIOLENCE_ORDER,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,417,observed,417,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C10,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,1531 Breach of violence order,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
2022-06-30,2020-06-30,CHAR_10_19_YEARS,COUNT,2020-06-30,OFFENCE_TOTAL,GROUP_AGE,QLD,FDV_EXPERIMENTAL_ANZSOC_2011,defendant-count,person,608,observed,608,sha256:c715e6c9cd27e52dbf5b7cd5bafd54ea49972649c8f679496e1ccce169c426b4,FDV Table 8,R102C11,sha256:010e38791e84a5ddc9576c0ddf2018cc7d6e939a40d9f062b5046673e2032252,criminal-courts-australia,sha256:d5b38bd88c2627903e3d7bb73eb857a17605aef8f0ea120c420d47fcecb225d2,tidy.table-family-acceptance/v2,sha256:c233c5d87f9dd01e3a80cc0d72ec2a223a0887bae3e8f6ea257d446eda64322a,sha256:da80a3f5e07de016514d80fe176b6fecabdf114f4185f3f3288c970bc807ca29,sha256:93733191b0cc0a1a9edc4776324afa5949d9a1583f8d7921b0f2d591af997977,human-authored/deterministic-map-v1,replay:sha256:e596db64210670148d99f1dd68e981034c06d6863a83f2fae79e4793c4acaf88,10–19 years,10–19 years,2019–20,Total,Age,"FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22","FDV Table 8 – Experimental data – Family and domestic violence defendants finalised, Summary characteristics by Principal FDV offence, Queensland, 2019–20 to 2021–22"
