publication_vintage_date,reference_date,principal_offence_id,fine_amount_id,court_level_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_fine_amount,raw_court_level,raw_jurisdiction
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_DOLLARS_1_000_AND_OVER,ALL_COURTS,AUS,defendant-count,person,1417,observed,1417,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C5,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,"$1,000 & over",All Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_DOLLARS_250_TO_LESS_THAN_DOLLARS_500,ALL_COURTS,AUS,defendant-count,person,137,observed,137,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C3,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,$250 to less than $500,All Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_DOLLARS_500_TO_LESS_THAN_DOLLARS_1_000,ALL_COURTS,AUS,defendant-count,person,1005,observed,1005,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C4,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,"$500 to less than $1,000",All Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_LESS_THAN_DOLLARS_250,ALL_COURTS,AUS,defendant-count,person,33,observed,33,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C2,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,Less than $250,All Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_MEAN,ALL_COURTS,AUS,fine-mean-amount,dollar,1232.3,observed,1232.3,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C7,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,Mean(b),All Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_MEAN,CHILDRENS_COURTS,AUS,fine-mean-amount,dollar,604.44,observed,604.44,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C13,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,Mean(b),Children's Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_MEAN,HIGHER_COURTS,AUS,fine-mean-amount,dollar,2645,observed,2645,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C9,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,Mean(b),Higher Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_MEAN,MAGISTRATES_COURTS,AUS,fine-mean-amount,dollar,1227.36,observed,1227.36,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C11,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,Mean(b),Magistrates' Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_MEDIAN,ALL_COURTS,AUS,fine-median-amount,dollar,1000,observed,1000,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C8,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,Median(b),All Courts,Australia
2025-06-30,2025-06-30,ANZSOC_2023_021_SERIOUS_ASSAULT,FINE_MEDIAN,CHILDRENS_COURTS,AUS,fine-median-amount,dollar,750,observed,750,sha256:fa1e98f3489817397e3a0de43b220f7f91a234577adee89546445b2c87332695,Table 84,R10C14,sha256:e320a7b87a71635d857555eb5d8a1bfae8f28a737c3bc962f2733bc94dcfd721,criminal-courts-australia,sha256:71c360c1ab35333651f040945e7b8d66c140cfafef7da0af95fdfab1fc134045,tidy.table-family-acceptance/v1,sha256:f803b4e74d26806730d807c7631dc9b8dbf03753828fd76426497bbba400a90d,sha256:5ba39089368fff0a81dde99e504cf825e08160a7f19663fe37d7f09619d80460,sha256:39ddcd2df2ef6c3226452576051b2506add51837e1984ab2732922e694fd12f3,human-authored/deterministic-map-v1,replay:sha256:cf5825889c0fb4987a841243c3eaa6297140a3c63fa9c9b1bfb15722814a1398,021 Serious assault,Median(b),Children's Courts,Australia
