publication_vintage_date,reference_date,principal_offence_id,sentence_statistic_id,observation_period_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_sentence_statistic,raw_observation_period,raw_court_level
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_COMMUNITY_SUPERVISION_WORK_ORDERS,2021-06-30,ALL_COURTS,defendant-count,person,7,observed,7,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R8C6,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Community supervision/ work orders,2020–21,All Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_COMMUNITY_SUPERVISION_WORK_ORDERS,2021-06-30,CHILDRENS_COURTS,defendant-count,person,3,observed,3,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R89C6,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Community supervision/ work orders,2020–21,Children's Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_COMMUNITY_SUPERVISION_WORK_ORDERS,2021-06-30,HIGHER_COURTS,defendant-count,person,4,observed,4,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R35C6,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Community supervision/ work orders,2020–21,Higher Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_COMMUNITY_SUPERVISION_WORK_ORDERS,2021-06-30,MAGISTRATES_COURTS,defendant-count,person,4,observed,4,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R62C6,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Community supervision/ work orders,2020–21,Magistrates' Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,2021-06-30,ALL_COURTS,defendant-count,person,253,observed,253,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R8C2,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Custody in a correctional institution,2020–21,All Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,2021-06-30,CHILDRENS_COURTS,defendant-count,person,3,observed,3,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R89C2,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Custody in a correctional institution,2020–21,Children's Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,2021-06-30,HIGHER_COURTS,defendant-count,person,247,observed,247,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R35C2,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Custody in a correctional institution,2020–21,Higher Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,2021-06-30,MAGISTRATES_COURTS,defendant-count,person,4,observed,4,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R62C2,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Custody in a correctional institution,2020–21,Magistrates' Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_CUSTODY_IN_THE_COMMUNITY,2021-06-30,ALL_COURTS,defendant-count,person,27,observed,27,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R8C3,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Custody in the community,2020–21,All Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_CUSTODY_IN_THE_COMMUNITY,2021-06-30,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R89C3,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Custody in the community,2020–21,Children's Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_CUSTODY_IN_THE_COMMUNITY,2021-06-30,HIGHER_COURTS,defendant-count,person,16,observed,16,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R35C3,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Custody in the community,2020–21,Higher Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_CUSTODY_IN_THE_COMMUNITY,2021-06-30,MAGISTRATES_COURTS,defendant-count,person,6,observed,6,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R62C3,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Custody in the community,2020–21,Magistrates' Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_FINES,2021-06-30,ALL_COURTS,defendant-count,person,0,observed,0,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R8C7,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Fines,2020–21,All Courts
2022-06-30,2021-06-30,ANZSOC_2011_01_HOMICIDE_AND_RELATED_OFFENCES,SENTENCE_FINES,2021-06-30,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 10,R89C7,sha256:a3ca283030148d264703a7611510487df92bbad9c289265da6346857e4291290,criminal-courts-australia,sha256:15b3c379b10ec631b0442078505c00f4c3c95a1f2969bfc5f7ad12a5aa39449a,tidy.table-family-acceptance/v1,sha256:6c18d993716971f24c37766b014a5f60fc338d5f751ad13c82b8b03dcf04d33d,sha256:180df0bf56272ba723c3814d16ea94d91725b565e722d26785fcb5f54e67cd52,sha256:d8b744dd782e33d67a31cc0e4fbe0d9002e723e9a710513a24ef60cf8cc4a92a,human-authored/deterministic-map-v1,replay:sha256:a7d754c66552389b858f899e76da286889308cfa8f5373c94c35d7b7b8ed3416,01 Homicide and related offences,Fines,2020–21,Children's Courts
