publication_vintage_date,reference_date,sentence_statistic_id,aggregate_sentence_length_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_sentence_statistic,raw_aggregate_sentence_length,raw_court_level
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_10_YEARS_AND_OVER,ALL_COURTS,defendant-count,person,296,observed,296,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C8,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,10 years & over,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_1_TO_UNDER_2_YEARS,ALL_COURTS,defendant-count,person,8180,observed,8180,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C5,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,1 to under 2 years,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_2_TO_UNDER_5_YEARS,ALL_COURTS,defendant-count,person,5964,observed,5964,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C6,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,2 to under 5 years,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_3_TO_UNDER_6_MONTHS,ALL_COURTS,defendant-count,person,6977,observed,6977,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C3,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,3 to under 6 months,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_5_TO_UNDER_10_YEARS,ALL_COURTS,defendant-count,person,1330,observed,1330,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C7,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,5 to under 10 years,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_6_TO_UNDER_12_MONTHS,ALL_COURTS,defendant-count,person,10006,observed,10006,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C4,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,6 to under 12 months,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_MEAN,ALL_COURTS,sentence-mean-duration,month,14.8,observed,14.8,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C10,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Mean,All Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_MEAN,CHILDRENS_COURTS,sentence-mean-duration,month,6.4,observed,6.4,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C16,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Mean,Children's Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_MEAN,HIGHER_COURTS,sentence-mean-duration,month,38.6,observed,38.6,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C12,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Mean,Higher Courts
2022-06-30,2022-06-30,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,LENGTH_MEAN,MAGISTRATES_COURTS,sentence-mean-duration,month,7.3,observed,7.3,sha256:3b8fb5b8430126c59802828000ed40e637db8d533edf8caa2c25260f46a978b4,Table 65,R9C14,sha256:7c248868a87107ae4d4f9b152d2b1d02bc921a91a87a53da6e08fabf899ca776,criminal-courts-australia,sha256:754eb8aff45e54ebb6b1dc3d361b60ccb7a217a77c687e29957ebb9cf523931e,tidy.table-family-acceptance/v1,sha256:4b98f6e150dcc343a2ccc3791729198037e415caa2a15417c125de992e24d664,sha256:731a4174ed3fc05362bed9fd782c42496ab8f36f2bcfde8cf2cabe5944a5028e,sha256:2253bcb3c5e944e899b3c1a99fdcf1ea9b6bc73aa4d90b93f1e009e84e4ca4c4,human-authored/deterministic-map-v1,replay:sha256:91465c3104eb0e8e8c6921e0b69e25e6cab73342b534dcb3233b486c84816f41,Custody in a correctional institution,Mean,Magistrates' Courts
