publication_vintage_date,reference_date,characteristic_category_id,sex_id,sentence_statistic_id,observation_period_id,court_level_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_sex,raw_sentence_statistic,raw_observation_period,raw_court_level
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_COMMUNITY_SUPERVISION_WORK_ORDERS,2021-06-30,CHILDRENS_COURTS,defendant-count,person,423,observed,423,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C6,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Community supervision/ work orders,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_CUSTODY_IN_A_CORRECTIONAL_INSTITUTION,2021-06-30,CHILDRENS_COURTS,defendant-count,person,9,observed,9,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C2,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Custody in a correctional institution,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_CUSTODY_IN_THE_COMMUNITY,2021-06-30,CHILDRENS_COURTS,defendant-count,person,0,observed,0,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C3,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Custody in the community,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_FINES,2021-06-30,CHILDRENS_COURTS,defendant-count,person,3,observed,3,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C7,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Fines,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_FULLY_SUSPENDED_SENTENCE,2021-06-30,CHILDRENS_COURTS,defendant-count,person,8,observed,8,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C4,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Fully suspended sentence,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_OTHER_NON_CUSTODIAL_ORDERS,2021-06-30,CHILDRENS_COURTS,defendant-count,person,541,observed,541,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C8,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Other non-custodial orders,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_TOTAL,2021-06-30,CHILDRENS_COURTS,defendant-count,person,979,observed,979,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C10,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Total,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_TOTAL_CUSTODIAL_ORDERS,2021-06-30,CHILDRENS_COURTS,defendant-count,person,15,observed,15,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C5,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Total custodial orders,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,FEMALES,SENTENCE_TOTAL_NON_CUSTODIAL_ORDERS,2021-06-30,CHILDRENS_COURTS,defendant-count,person,962,observed,962,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R133C9,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Females,Total non-custodial orders,2020–21,Children's Courts
2022-06-30,2021-06-30,CHAR_10_14_YEARS,MALES,SENTENCE_COMMUNITY_SUPERVISION_WORK_ORDERS,2021-06-30,CHILDRENS_COURTS,defendant-count,person,959,observed,959,sha256:13031bceb80730548ebcbb6a9074724ebafed087f841b9eecb99afc7aaee210c,Table 9,R126C6,sha256:55da0ae82f68267311f4b8656bcbf9796b4985bf61426457e308c064fc383f16,criminal-courts-australia,sha256:f6cd75e99b30890124eb597925bd223ab6eb32910f7235e43a933fd74dbae79f,tidy.table-family-acceptance/v1,sha256:57ec931f978204a1823ec279f2d460efdbb75132edfbe1a10952813ab677a040,sha256:306d0c2e4564a85823449fccea70539e429db0a604c5d2c2d0802108aa6bb786,sha256:b46113f82068621c45c0b3a0726c5ad340c289e37b2f6616a0b4d75b45762d81,human-authored/deterministic-map-v1,replay:sha256:c508f4768240bf032f54c36ec0b8f13faeeac4bb3c8d10e08c356070505e18bd,10–14 years,Males,Community supervision/ work orders,2020–21,Children's Courts
