publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_01_HOMICIDE,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,8,observed,8,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C2,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,01 Homicide(a),"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_02_ASSAULT,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,190,observed,190,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C3,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,02 Assault,"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_03_SEXUAL_OFFENCES,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,35,observed,35,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C4,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,03 Sexual offences,"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_04_HARM_OR_ENDANGER_PERSONS,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,35,observed,35,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C5,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,04 Harm or endanger persons(b),"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_05_ROBBERY_BLACKMAIL_AND_EXTORTION,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,6,observed,6,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C6,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,"05 Robbery, blackmail, and extortion","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_06_BURGLARY,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,39,observed,39,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C7,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,06 Burglary,"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_07_THEFT,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,81,observed,81,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C8,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,07 Theft,"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_08_FRAUD_AND_RELATED_OFFENCES,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,24,observed,24,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C9,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,08 Fraud and related offences,"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_09_DRUG_OFFENCES,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,71,observed,71,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C10,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,09 Drug offences(c),"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
2025-06-30,2024-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2024-06-30,OFFENCE_10_WEAPONS_AND_EXPLOSIVES_OFFENCES,QLD,MAGISTRATES_COURTS,ANZSOC_2023,defendant-count,person,17,observed,17,sha256:09f3c851795043d81e7a4a4f67d7d3f5204376e2686ea6b73556d9ded20adb23,Table 37,R32C11,sha256:da0d2e87c7a81b547cd7b906f9cfcc33c05dee4ffea8a17bb7c378117d4a9191,criminal-courts-australia,sha256:5980e423297c2c9aea87c2ea9594aa251f93eb8a0607391f1b25117bdbaf7ba3,tidy.table-family-acceptance/v1,sha256:f9cab0b8f55489505bcf18c636e880e41922a5c1b5a3d2117d926b4dedf933c3,sha256:f053ec6ae27c2a53dc8a8d6d69c2db2c42e5768f3dde8fca1de06364da1bef6f,sha256:01c423f1a2df3dcf486f890813de73766b1f423ef4b9263439e7647783dac686,human-authored/deterministic-map-v1,replay:sha256:d248f982556b37bfdf6a5a2424ede89cc49349e96eec02679ddc8af6e8b08bb8,Acquitted,Method of finalisation,2023–24,10 Weapons and explosives offences,"Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25","Table 37 Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, Magistrates' Courts – Queensland, 2023–24 to 2024–25"
