publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,principal_offence_id,jurisdiction_id,court_level_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_principal_offence,raw_jurisdiction,raw_court_level,raw_classification_context
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_01_HOMICIDE_AND_RELATED_OFFENCES,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C2,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,"01 Homicide
 & related offences","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_02_ACTS_INTENDED_TO_CAUSE_INJURY,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,106,observed,106,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C3,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,02 Acts intended to cause injury,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,7,observed,7,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C4,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,03 Sexual assault & related offences,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_04_DANGEROUS_NEGLIGENT_ACTS,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,6,observed,6,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C5,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,04 Dangerous/ negligent acts,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_05_ABDUCTION_HARASSMENT,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C6,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21, 05 Abduction/ harassment,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_06_ROBBERY_EXTORTION,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C7,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,06 Robbery/ extortion,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_07_UNLAWFUL_ENTRY_WITH_INTENT,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,3,observed,3,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C8,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,07 Unlawful entry with intent,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_08_THEFT,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,8,observed,8,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C9,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,08 Theft,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_09_FRAUD_DECEPTION,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C10,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,09 Fraud/ deception,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
2022-06-30,2021-06-30,CHAR_ACQUITTED,GROUP_METHOD_OF_FINALISATION,2021-06-30,OFFENCE_10_ILLICIT_DRUG_OFFENCES,NT,MAGISTRATES_COURTS,ANZSOC_2011,defendant-count,person,8,observed,8,sha256:edef3539d1f67d2df95e5f8c7bb2f0ebbc5a5c06d024cf16e766793c6c762e62,Table 49,R33C11,sha256:5609a33f9060289a6f2b4bdced0035da93b46e984ae2d7c2face1762833a4807,criminal-courts-australia,sha256:da5e710291c2a64dc086784d4b5a2822ccad58f60ee8c546782438397a453e37,tidy.table-family-acceptance/v2,sha256:d8dde1e31e02f8839019f02aa32588aaecff077e42c344e2a83287c281f53b54,sha256:c2032c4275a82dbb56d171fcb37ce6465e6ed6fee23d56f0e2eb32dd65637953,sha256:b0f90366a45361c1b1606f4c6b027ce114eaaae5f76a601cc6ba861e739b132c,human-authored/deterministic-map-v1,replay:sha256:ba796603d57f801417688cdf95edc026a86a29eba44d490cb7120d22edbd11ab,Acquitted,Method of finalisation,2020–21,10 Illicit drug offences,"Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22","Table 49 Defendants finalised and with a guilty outcome, Summary outcomes by selected principal offence, Magistrates' Courts – Northern Territory, 2020–21 to 2021–22"
