publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2011,defendant-count,person,639,observed,639,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R23C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,01 Homicide and related offences,Principal offence,2010–11,Number of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,3.3,observed,3.3,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R57C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,01 Homicide and related offences,Principal offence,2010–11,Rate of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2011,defendant-count,person,64957,observed,64957,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R24C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,02 Acts intended to cause injury,Principal offence,2010–11,Number of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,335.8,observed,335.8,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R58C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,02 Acts intended to cause injury,Principal offence,2010–11,Rate of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2011,defendant-count,person,5446,observed,5446,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R25C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,03 Sexual assault and related offences,Principal offence,2010–11,Number of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,28.2,observed,28.2,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R59C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,03 Sexual assault and related offences,Principal offence,2010–11,Rate of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_04_DANGEROUS_NEGLIGENT_ACTS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2011,defendant-count,person,36474,observed,36474,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R26C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,04 Dangerous/negligent acts,Principal offence,2010–11,Number of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_04_DANGEROUS_NEGLIGENT_ACTS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,188.6,observed,188.6,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R60C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,04 Dangerous/negligent acts,Principal offence,2010–11,Rate of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_05_ABDUCTION_HARASSMENT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,AUS,ANZSOC_2011,defendant-count,person,3230,observed,3230,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R27C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,05 Abduction/harassment,Principal offence,2010–11,Number of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_05_ABDUCTION_HARASSMENT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,AUS,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,16.7,observed,16.7,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 56,R61C2,sha256:989868c6f0da722b1fa9f85045e5e1b50f4c91b58d1e076b988ec3b7e1a09f4f,criminal-courts-australia,sha256:e532f4d6a5f163e045c4dbf07f4fcf3b5184e4b06fb4223e89e7e3d7e8c14bf8,tidy.table-family-acceptance/v2,sha256:33700197dd4adca1303a8e4efbae3132e740be281531e459c8a5a4876136d54d,sha256:33341815aca6d7262140bb04a3d0f7ddff7d7f4c98f515e8c325c94e607eb8cd,sha256:dad7f37473c15a04c0e48bc7e8b3716683d4a67288a4642b5736fb67b125e8c1,human-authored/deterministic-map-v1,replay:sha256:cf0b278e10400b1c11da8028a34c8aaf5a55e97f2757eaaeeda9377ecd1a66bb,05 Abduction/harassment,Principal offence,2010–11,Rate of defendants finalised,"Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22","Table 56 Defendants finalised (excluding transfers and organisations), Summary characteristics, 2010–11 to 2021–22"
