publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,statistic_basis_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_statistic_basis,raw_jurisdiction,raw_classification_context
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2011,defendant-count,person,64,observed,64,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R23C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,01 Homicide and related offences,Principal offence,2010–11,Number of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,3.2,observed,3.2,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R57C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,01 Homicide and related offences,Principal offence,2010–11,Rate of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2011,defendant-count,person,7852,observed,7852,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R24C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,02 Acts intended to cause injury,Principal offence,2010–11,Number of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,388.8,observed,388.8,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R58C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,02 Acts intended to cause injury,Principal offence,2010–11,Rate of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2011,defendant-count,person,706,observed,706,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R25C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,03 Sexual assault and related offences,Principal offence,2010–11,Number of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,35,observed,35,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R59C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,03 Sexual assault and related offences,Principal offence,2010–11,Rate of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_04_DANGEROUS_NEGLIGENT_ACTS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2011,defendant-count,person,7343,observed,7343,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R26C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,04 Dangerous/negligent acts,Principal offence,2010–11,Number of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_04_DANGEROUS_NEGLIGENT_ACTS,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,363.6,observed,363.6,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R60C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,04 Dangerous/negligent acts,Principal offence,2010–11,Rate of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_05_ABDUCTION_HARASSMENT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,COUNT,WA,ANZSOC_2011,defendant-count,person,664,observed,664,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R27C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,05 Abduction/harassment,Principal offence,2010–11,Number of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_05_ABDUCTION_HARASSMENT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,RATE,WA,ANZSOC_2011,defendant-rate,per-100000-persons-aged-10-plus,32.9,observed,32.9,sha256:5d7734110d0f6348c017e4b3ec2fad4118b95de47cb48b6e7b2cf51f4f57bcee,Table 61,R61C2,sha256:f501cf6a3009415128b421cad945616f2903fd5345f0ea6d36540e00255d1e86,criminal-courts-australia,sha256:4d96005e83e98dbb6729f43c6266f513b720d0ec6f106a70678ebf6b42f1ad1a,tidy.table-family-acceptance/v2,sha256:6932bb8567de5fdbeace75a03326b7258ada78db814a8f315f95f1f0707976af,sha256:a25e75e8aae935e2fc83555baff38ebeef1bde78f803e5b4de0e5368b172cb67,sha256:85ea9fedf02e09e9314546bb223ee772f34152197e4ae6871ddff8a5f9ffa5e9,human-authored/deterministic-map-v1,replay:sha256:910b51129a5bb7ec7d3a315cd775b7b9abd109d6c7dd000ee86d03ed04a8e171,05 Abduction/harassment,Principal offence,2010–11,Rate of defendants finalised,"Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22","Table 61 Defendants finalised (excluding transfers and organisations), Summary characteristics – Western Australia, 2010–11 to 2021–22"
