publication_vintage_date,reference_date,principal_offence_id,method_of_finalisation_id,jurisdiction_id,observation_period_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_method_of_finalisation,raw_jurisdiction,raw_observation_period,raw_classification_context
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_ACQUITTED,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R6C2,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,011 Murder,Acquitted,"Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_GUILTY_OUTCOME,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,8,observed,8,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R6C3,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,011 Murder,Guilty outcome,"Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_TOTAL,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,13,observed,13,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R6C7,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,011 Murder,Total(b),"Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_TOTAL_ADJUDICATED,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,8,observed,8,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R6C4,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,011 Murder,"Total
adjudicated(a)","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,4,observed,4,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R6C5,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,011 Murder,Transfer to other court levels,"Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_WITHDRAWN_BY_PROSECUTION,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R6C6,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,011 Murder,Withdrawn by prosecution,"Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_012_ATTEMPTED_MURDER,METHOD_ACQUITTED,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R7C2,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,012 Attempted murder,Acquitted,"Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_012_ATTEMPTED_MURDER,METHOD_GUILTY_OUTCOME,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,5,observed,5,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R7C3,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,012 Attempted murder,Guilty outcome,"Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_012_ATTEMPTED_MURDER,METHOD_TOTAL,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,10,observed,10,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R7C7,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,012 Attempted murder,Total(b),"Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
2024-06-30,2024-06-30,OFFENCE_012_ATTEMPTED_MURDER,METHOD_TOTAL_ADJUDICATED,TAS,2024-06-30,ANZSOC_2011,defendant-count,person,5,observed,5,sha256:b4b17c474bd69011e360b33c1312c8c85c677e0a5117e74097150beab40cd0a6,Table 47,R7C4,sha256:429a0f0820fbab817854ebe9452fe7e6c7f1fa0279770ebc66bf21ead8ee905e,criminal-courts-australia,sha256:bb40ac5491a6ae310d86fb263f336a417d377b66dc3ea99f95babeb6d1d2cdce,tidy.table-family-acceptance/v2,sha256:128daa7801ad4fd5726d5c5343b24795ed762fc951b2bfb759cf213e048bcc12,sha256:91b4dc2a8886da0dc0bb8615928086d86fef85f64d440e924bfc3e0e2eac0c49,sha256:a57628e5d1abed708130cbb60797e6b17371b7f7e9f74881473fad92fa7d95b6,human-authored/deterministic-map-v1,replay:sha256:501d1214523af893700797bfeae50d23bdb9327482b03f62a97dfc26869ed8f4,012 Attempted murder,"Total
adjudicated(a)","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24","Table 47 Defendants finalised, Principal offence by method of finalisation – Tasmania, 2023–24"
