publication_vintage_date,reference_date,principal_offence_id,method_of_finalisation_id,jurisdiction_id,observation_period_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_method_of_finalisation,raw_jurisdiction,raw_observation_period,raw_classification_context
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_ACQUITTED,WA,2024-06-30,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R6C2,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,011 Murder,Acquitted,"Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_GUILTY_OUTCOME,WA,2024-06-30,ANZSOC_2011,defendant-count,person,8,observed,8,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R6C3,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,011 Murder,Guilty outcome,"Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_TOTAL,WA,2024-06-30,ANZSOC_2011,defendant-count,person,34,observed,34,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R6C7,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,011 Murder,Total(b),"Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_TOTAL_ADJUDICATED,WA,2024-06-30,ANZSOC_2011,defendant-count,person,11,observed,11,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R6C4,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,011 Murder,"Total
adjudicated(a)","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_TRANSFER_TO_OTHER_COURT_LEVELS,WA,2024-06-30,ANZSOC_2011,defendant-count,person,25,observed,25,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R6C5,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,011 Murder,Transfer to other court levels,"Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_011_MURDER,METHOD_WITHDRAWN_BY_PROSECUTION,WA,2024-06-30,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R6C6,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,011 Murder,Withdrawn by prosecution,"Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_012_ATTEMPTED_MURDER,METHOD_ACQUITTED,WA,2024-06-30,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R7C2,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,012 Attempted murder,Acquitted,"Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_012_ATTEMPTED_MURDER,METHOD_GUILTY_OUTCOME,WA,2024-06-30,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R7C3,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,012 Attempted murder,Guilty outcome,"Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_012_ATTEMPTED_MURDER,METHOD_TOTAL,WA,2024-06-30,ANZSOC_2011,defendant-count,person,10,observed,10,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R7C7,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,012 Attempted murder,Total(b),"Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
2024-06-30,2024-06-30,OFFENCE_012_ATTEMPTED_MURDER,METHOD_TOTAL_ADJUDICATED,WA,2024-06-30,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:1bab52acae448e776de2924a66613335ceac1df7b6fb401b6ac9ddad44b96aef,Table 41,R7C4,sha256:6c54bdd45d87ba377ce30a6497e0c3930f8f3e81c605235835c977e89fb02994,criminal-courts-australia,sha256:764e508c18dd9fc1c1d434be88f7809088b58508cd4502b3d3c9b8555c5ffeee,tidy.table-family-acceptance/v1,sha256:e283e234e16675179b23450556da04b61eae313708eac48cf66029891a27c718,sha256:edf6ddbfb52bc27c48a897800bb5237728efec511d2ce43a170163fa01edb19b,sha256:8402f1daa05b5764967940d170cfc93759f05f178911aef7a725bd44d5e23d13,human-authored/deterministic-map-v1,replay:sha256:a2e00d5d5daf564b869faa34e24733a9285c3174cff9c85a46bd8824f9b64689,012 Attempted murder,"Total
adjudicated(a)","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24","Table 41 Defendants finalised, Principal offence by method of finalisation – Western Australia, 2023–24"
