publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,NSW,ANZSOC_2011,defendant-count,person,224,observed,224,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R17C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,01 Homicide and related offences,Principal offence,2010–11,All Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,NSW,ANZSOC_2011,defendant-count,person,8,observed,8,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R163C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,01 Homicide and related offences,Principal offence,2010–11,Children's Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,HIGHER_COURTS,NSW,ANZSOC_2011,defendant-count,person,136,observed,136,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R66C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,01 Homicide and related offences,Principal offence,2010–11,Higher Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,MAGISTRATES_COURTS,NSW,ANZSOC_2011,defendant-count,person,80,observed,80,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R115C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,01 Homicide and related offences,Principal offence,2010–11,Magistrates' Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,NSW,ANZSOC_2011,defendant-count,person,24281,observed,24281,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R19C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,   021 Assault,Principal offence,2010–11,All Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,NSW,ANZSOC_2011,defendant-count,person,2287,observed,2287,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R165C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,   021 Assault,Principal offence,2010–11,Children's Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,HIGHER_COURTS,NSW,ANZSOC_2011,defendant-count,person,500,observed,500,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R68C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,   021 Assault,Principal offence,2010–11,Higher Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,MAGISTRATES_COURTS,NSW,ANZSOC_2011,defendant-count,person,21490,observed,21490,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R117C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,   021 Assault,Principal offence,2010–11,Magistrates' Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,NSW,ANZSOC_2011,defendant-count,person,27071,observed,27071,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R18C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,02 Acts intended to cause injury,Principal offence,2010–11,All Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,NSW,ANZSOC_2011,defendant-count,person,2524,observed,2524,sha256:bd6ff28f3da92133cdd82f143d77cfdf72be6d9e1be9eeb8a00bf3199259e476,Table 16,R164C2,sha256:caaec23c9ddc6ff121d239dd9eb289e56847a7da7cccbd354230e020ba57bf63,criminal-courts-australia,sha256:07a1d8f4a910fe59ad60fb8126e893221830cb5f064888ad217825df9a96cb44,tidy.table-family-acceptance/v1,sha256:cf4e0d4cc787ebca9e736cfa34f3c88a4435c7e783d8f932aa4d5492c6a2debd,sha256:ceece82ee019c6b2ee106e545513843ec806e316206794a0a868add0f952be09,sha256:22dfcbc8c3a1e312da5fbcd91a5f7371ce2f3096274841fdd96ca5ed0f0424c8,human-authored/deterministic-map-v1,replay:sha256:47321a702c73e60e832500a91eb7a68042caecd74a8398e27f84352c7ab0caf6,02 Acts intended to cause injury,Principal offence,2010–11,Children's Courts,"Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22","Table 16 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2021–22"
