publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,224,observed,224,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R17C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),All Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,8,observed,8,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R184C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),Children's Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,136,observed,136,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R73C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),Higher Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,80,observed,80,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R129C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),Magistrates' Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,24281,observed,24281,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R18C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),All Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,2287,observed,2287,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R185C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Children's Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,500,observed,500,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R74C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Higher Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,21490,observed,21490,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R130C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Magistrates' Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,1388,observed,1388,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R19C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2010–11(a),All Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,NSW,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,92,observed,92,sha256:bbe132070a9ef7e45c70d31376d8b2c9ea7696b6f8775ca9f8bcad45041f29f6,Table 21,R186C2,sha256:2d5a5589a3f03ee608f373f872e3f11f197185626daf57b38981436b7d90e0d7,criminal-courts-australia,sha256:b487da27a6c384717eb5f64cf17757a4e86c1a47681d54686c619af5f6fefc03,tidy.table-family-acceptance/v1,sha256:2803cd503c67f1293b1ea6bb25318a995f57071a9c1faf7c8cb1db1622266c3c,sha256:01542a9a7a898f504ee8a015f0b7340054904ae5f31b22644125fbae761c61de,sha256:4b9597f0ed0e5a41bd88181cc88444f82910f59b4e3c3bd845db198d2ec981d7,human-authored/deterministic-map-v1,replay:sha256:f4dba50ad5d90dcca65da2dc87f5bb8670d9325bad93e3911fd92d5d82ed44f8,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Children's Courts,"Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 21 Defendants finalised, Summary characteristics by court level – New South Wales, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
