publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,17,observed,17,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R17C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,01 Homicide(e),Principal offence (ANZSOC 2023)(d),2010–11(a),All Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,0,observed,0,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R184C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,01 Homicide(e),Principal offence (ANZSOC 2023)(d),2010–11(a),Children's Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,13,observed,13,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R73C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,01 Homicide(e),Principal offence (ANZSOC 2023)(d),2010–11(a),Higher Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,10,observed,10,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R129C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,01 Homicide(e),Principal offence (ANZSOC 2023)(d),2010–11(a),Magistrates' Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,2185,observed,2185,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R18C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,02 Assault,Principal offence (ANZSOC 2023)(d),2010–11(a),All Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,138,observed,138,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R185C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,02 Assault,Principal offence (ANZSOC 2023)(d),2010–11(a),Children's Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,116,observed,116,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R74C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,02 Assault,Principal offence (ANZSOC 2023)(d),2010–11(a),Higher Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,1928,observed,1928,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R130C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,02 Assault,Principal offence (ANZSOC 2023)(d),2010–11(a),Magistrates' Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,142,observed,142,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R19C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,03 Sexual offences,Principal offence (ANZSOC 2023)(d),2010–11(a),All Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,NT,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,10,observed,10,sha256:4088144794ac7799424fa34cf63bc2b03e91ae0666506fa5c4b64968f97bf249,Table 57,R186C2,sha256:fb4fdf7102ec4fbae9dd4e7935fa274ba65135115b3aafc43ae86525485c36bf,criminal-courts-australia,sha256:ef8e78ad4b412d5434119ba8d72db982b81334f4eb833e473087f6b1d7c3c056,tidy.table-family-acceptance/v2,sha256:4d07a1c0d06a5b5edbd418c65a8f93216feb3b03f9d1cbaf04e1ada2c62a0b48,sha256:252f2b12ea9b23b37a54e99e13f1511e9b08749f2f378d2f87fcd28f85ddc14b,sha256:5978eee68450c00896369590ad42f8be65e9dd516387db1dd4b10c9ab410f4e1,human-authored/deterministic-map-v1,replay:sha256:0770765e754dd52b49fe6e1abb1726d8919b955ac98b8eaa5ae65c40fe7cd7a4,03 Sexual offences,Principal offence (ANZSOC 2023)(d),2010–11(a),Children's Courts,"Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 57 Defendants finalised, Summary characteristics by court level – Northern Territory, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
