publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,QLD,ANZSOC_2011,defendant-count,person,133,observed,133,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R17C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,01 Homicide and related offences,Principal offence,2010–11,All Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,QLD,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R163C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,01 Homicide and related offences,Principal offence,2010–11,Children's Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,HIGHER_COURTS,QLD,ANZSOC_2011,defendant-count,person,99,observed,99,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R66C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,01 Homicide and related offences,Principal offence,2010–11,Higher Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,MAGISTRATES_COURTS,QLD,ANZSOC_2011,defendant-count,person,27,observed,27,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R115C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,01 Homicide and related offences,Principal offence,2010–11,Magistrates' Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,QLD,ANZSOC_2011,defendant-count,person,8011,observed,8011,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R19C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,   021 Assault,Principal offence,2010–11,All Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,QLD,ANZSOC_2011,defendant-count,person,732,observed,732,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R165C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,   021 Assault,Principal offence,2010–11,Children's Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,HIGHER_COURTS,QLD,ANZSOC_2011,defendant-count,person,1327,observed,1327,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R68C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,   021 Assault,Principal offence,2010–11,Higher Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,MAGISTRATES_COURTS,QLD,ANZSOC_2011,defendant-count,person,5949,observed,5949,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R117C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,   021 Assault,Principal offence,2010–11,Magistrates' Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,QLD,ANZSOC_2011,defendant-count,person,8185,observed,8185,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R18C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,02 Acts intended to cause injury,Principal offence,2010–11,All Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,QLD,ANZSOC_2011,defendant-count,person,738,observed,738,sha256:d0c12a4474f77d55de76e53745316742da948c88f320bed32f6d023665364057,Table 26,R164C2,sha256:32f1b16177ae8a5308aefe0b23101a39773411f6efa2765c46d8e3ec5bb7ef23,criminal-courts-australia,sha256:f59aa1b94e2c5d573526cc83657b08b8ef06d6367a7e95a7a15bbfd9c277ca7c,tidy.table-family-acceptance/v1,sha256:1f79c52870bb763c4e2889717e29734a82e7f847a73fbf01f1eaffb6cfa112d4,sha256:65e5575c0704dd4c6253321f3f561b90809a7ca153c0d926c2dc8a40695b99a4,sha256:8985ef130e30319d324f2941b1ecf35c42516083e1361c59d4c4ca5b0e54b77c,human-authored/deterministic-map-v1,replay:sha256:535a1f5fd8cb4be7c967f0d2c26d78671397b16b53bf2222a88dc8a9cb36fbd5,02 Acts intended to cause injury,Principal offence,2010–11,Children's Courts,"Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22","Table 26 Defendants finalised, Summary characteristics by court level – Queensland, 2010–11 to 2021–22"
