publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,ALL_COURTS,TAS,ANZSOC_2011,defendant-count,person,10,observed,10,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R17C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,01 Homicide and related offences,Principal offence,2010–11,All Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,CHILDRENS_COURTS,TAS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R163C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,01 Homicide and related offences,Principal offence,2010–11,Children's Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,HIGHER_COURTS,TAS,ANZSOC_2011,defendant-count,person,10,observed,10,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R66C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,01 Homicide and related offences,Principal offence,2010–11,Higher Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE,2011-06-30,MAGISTRATES_COURTS,TAS,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R115C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,01 Homicide and related offences,Principal offence,2010–11,Magistrates' Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,ALL_COURTS,TAS,ANZSOC_2011,defendant-count,person,2372,observed,2372,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R19C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,   021 Assault,Principal offence,2010–11,All Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,CHILDRENS_COURTS,TAS,ANZSOC_2011,defendant-count,person,327,observed,327,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R165C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,   021 Assault,Principal offence,2010–11,Children's Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,HIGHER_COURTS,TAS,ANZSOC_2011,defendant-count,person,156,observed,156,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R68C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,   021 Assault,Principal offence,2010–11,Higher Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE,2011-06-30,MAGISTRATES_COURTS,TAS,ANZSOC_2011,defendant-count,person,1887,observed,1887,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R117C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,   021 Assault,Principal offence,2010–11,Magistrates' Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,ALL_COURTS,TAS,ANZSOC_2011,defendant-count,person,2379,observed,2379,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R18C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,02 Acts intended to cause injury,Principal offence,2010–11,All Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE,2011-06-30,CHILDRENS_COURTS,TAS,ANZSOC_2011,defendant-count,person,327,observed,327,sha256:9a2e0823cfb70a2ae6b499557f92e45a0bfc2d0965d4c24da73496e2474dfd8d,Table 41,R164C2,sha256:21ce1bc3e009ab0deedd97d2a31800d9c12a30dd0af477580a23e3b6bc6127d9,criminal-courts-australia,sha256:1cd2e82130d4b1d739ee684d7f4ebd66b7a8994ebe0c60787e66e054b66415a6,tidy.table-family-acceptance/v2,sha256:3e171bf92689089d2fe8b138b08bb4dfacc014e0985db9011f9e0e4c06c75754,sha256:c4122e0a64f8fc6bd195102546e85e3abd26c287f764632a3bd78a2e71366534,sha256:ae10bd5d833d78899c5b43ab32201d39d37eb2d40b597ee2892c37250db79f42,human-authored/deterministic-map-v1,replay:sha256:4dfc5e1c41363db627b8eb7d542134ca167b1ae058dc3c71b314f1fc61246af0,02 Acts intended to cause injury,Principal offence,2010–11,Children's Courts,"Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22","Table 41 Defendants finalised, Summary characteristics by court level – Tasmania, 2010–11 to 2021–22"
