publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,119,observed,119,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R17C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),All Courts,"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,0,observed,0,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R184C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),Children's Courts(z),"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,109,observed,109,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R73C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),Higher Courts,"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_01_HOMICIDE,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,5,observed,5,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R129C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,01 Homicide,Principal offence (ANZSOC 2023)(c),2010–11(a),Magistrates' Courts,"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,9569,observed,9569,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R18C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),All Courts,"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,1517,observed,1517,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R185C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Children's Courts(z),"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,HIGHER_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,562,observed,562,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R74C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Higher Courts,"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_02_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,MAGISTRATES_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,7488,observed,7488,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R130C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,02 Assault,Principal offence (ANZSOC 2023)(c),2010–11(a),Magistrates' Courts,"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,ALL_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,1044,observed,1044,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R19C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2010–11(a),All Courts,"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
2025-06-30,2011-06-30,CHAR_03_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2023_WITH_CONCORDED_ANZSOC_2011_SERIES,2011-06-30,CHILDRENS_COURTS,VIC,MIXED_CONCORDED_ANZSOC_2011_AND_ANZSOC_2023,defendant-count,person,115,observed,115,sha256:e93188e7561bf68072d44cf5fe90911c963429fb4de8bd6873fcdfd4c545e02f,Table 27,R186C2,sha256:cbf56812f6e34528bf15654a31a3e14310be76f1f3aca8e93a10bfd97ae3cfb1,criminal-courts-australia,sha256:2af497527af93ba0cbdf129d659d8edd2263b192047dc0af8171c7b2b5a7adf0,tidy.table-family-acceptance/v1,sha256:5815ca683b2b97f9933f4bec2e9a9fa3cf7503d63a5b43c0ec6a1fedd4b87460,sha256:f43169793da44802203308847de5a767b27a89d8880b5ed4e73301d8594f35e7,sha256:8b8a3a768edb019d5146f76c37a3c58a54a2adb72e79165f7e135d6c63efe200,human-authored/deterministic-map-v1,replay:sha256:f241446182022c29d1a89109ff1fb6ffc6631569529f8d6cc614d9e04210cca4,03 Sexual offences,Principal offence (ANZSOC 2023)(c),2010–11(a),Children's Courts(z),"Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)","Table 27 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2022–23 (concorded from ANZSOC 2011) and 2023–24 to 2024–25 (ANZSOC 2023)"
