publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,court_level_id,jurisdiction_id,classification_context_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period,raw_court_level,raw_jurisdiction,raw_classification_context
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,VIC,ANZSOC_2011,defendant-count,person,119,observed,119,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R17C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,01 Homicide and related offences,Principal offence,2010–11,All Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,VIC,ANZSOC_2011,defendant-count,person,0,observed,0,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R163C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,01 Homicide and related offences,Principal offence,2010–11,Children's Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,HIGHER_COURTS,VIC,ANZSOC_2011,defendant-count,person,109,observed,109,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R66C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,01 Homicide and related offences,Principal offence,2010–11,Higher Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,MAGISTRATES_COURTS,VIC,ANZSOC_2011,defendant-count,person,5,observed,5,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R115C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,01 Homicide and related offences,Principal offence,2010–11,Magistrates' Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,VIC,ANZSOC_2011,defendant-count,person,9569,observed,9569,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R19C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,   021 Assault,Principal offence,2010–11,All Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,VIC,ANZSOC_2011,defendant-count,person,1517,observed,1517,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R165C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,   021 Assault,Principal offence,2010–11,Children's Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,HIGHER_COURTS,VIC,ANZSOC_2011,defendant-count,person,562,observed,562,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R68C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,   021 Assault,Principal offence,2010–11,Higher Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,MAGISTRATES_COURTS,VIC,ANZSOC_2011,defendant-count,person,7488,observed,7488,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R117C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,   021 Assault,Principal offence,2010–11,Magistrates' Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,VIC,ANZSOC_2011,defendant-count,person,9837,observed,9837,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R18C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,02 Acts intended to cause injury,Principal offence,2010–11,All Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,VIC,ANZSOC_2011,defendant-count,person,1523,observed,1523,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R164C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,02 Acts intended to cause injury,Principal offence,2010–11,Children's Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,HIGHER_COURTS,VIC,ANZSOC_2011,defendant-count,person,572,observed,572,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R67C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,02 Acts intended to cause injury,Principal offence,2010–11,Higher Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,MAGISTRATES_COURTS,VIC,ANZSOC_2011,defendant-count,person,7748,observed,7748,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R116C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,02 Acts intended to cause injury,Principal offence,2010–11,Magistrates' Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,ALL_COURTS,VIC,ANZSOC_2011,defendant-count,person,1037,observed,1037,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R20C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,03 Sexual assault and related offences,Principal offence,2010–11,All Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,CHILDRENS_COURTS,VIC,ANZSOC_2011,defendant-count,person,115,observed,115,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R166C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,03 Sexual assault and related offences,Principal offence,2010–11,Children's Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
2022-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,HIGHER_COURTS,VIC,ANZSOC_2011,defendant-count,person,511,observed,511,sha256:66d08259bf923e434cc4773ee8d314931fff1ff7b963018c6bd764918fd59b55,Table 21,R69C2,sha256:f2e9c22584bfa0c79ace3ec4b33c4c164c6493e4cb1abee102ed1ee8b9169f0d,criminal-courts-australia,sha256:2a173e880a5da94c097684760bc912cbaad1d75c090213c82e276c03176521b3,tidy.table-family-acceptance/v1,sha256:503a948693ebe6dd47fd0aabb8f0d2df354fd02b8885a725c7e01e19115c0bce,sha256:15e5ecb4adf3c33b97fc5705cad3ff6912450a901f9f015c61cabfb531d0e630,sha256:c745e0f281333ef1ddd2723c5ebd54067b220c1aca6d7284e72d70c4617b0eff,human-authored/deterministic-map-v1,replay:sha256:583d36515a74501998634ee4f57369b4d767e0f4963e6bd68189037c3afb826f,03 Sexual assault and related offences,Principal offence,2010–11,Higher Courts,"Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22","Table 21 Defendants finalised, Summary characteristics by court level – Victoria, 2010–11 to 2021–22"
