publication_vintage_date,reference_date,characteristic_category_id,sex_id,principal_offence_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_sex,raw_principal_offence
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_01_HOMICIDE,defendant-count,person,3,observed,3,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C2,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females, 01 Homicide
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_02_ASSAULT,defendant-count,person,3014,observed,3014,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C3,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,02 Assault
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_03_SEXUAL_OFFENCES,defendant-count,person,31,observed,31,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C4,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,03 Sexual offences
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_04_HARM_OR_ENDANGER_PERSONS,defendant-count,person,443,observed,443,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C5,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,04 Harm or endanger persons
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_05_ROBBERY_BLACKMAIL_AND_EXTORTION,defendant-count,person,427,observed,427,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C6,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,"05 Robbery, blackmail, and extortion"
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_06_BURGLARY,defendant-count,person,683,observed,683,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C7,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,06 Burglary
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_07_THEFT,defendant-count,person,2263,observed,2263,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C8,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,07 Theft
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_08_FRAUD_AND_RELATED_OFFENCES,defendant-count,person,132,observed,132,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C9,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,08 Fraud and related offences
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_09_DRUG_OFFENCES,defendant-count,person,373,observed,373,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C10,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,09 Drug offences
2024-06-30,2024-06-30,CHAR_10_19_YEARS,FEMALES,PRELIM_ANZSOC_2023_10_WEAPONS_AND_EXPLOSIVES_OFFENCES,defendant-count,person,168,observed,168,sha256:8b40705c7e50a212ae6bfc5e9b83460f203f5e5989682d76ab4ef222db61c8d9,ANZSOC 2023 Table 3,R18C11,sha256:15f5d0a6f28f5995f3c2b740dac4003d339433995e145bf35da0da4a5cbd9918,criminal-courts-australia,sha256:281f1460b48fffb83e8108f80a498dd404e4e1ff0b920bf116eecf328575341c,tidy.table-family-acceptance/v1,sha256:27149eaf14e57774a8af09bee842e90187d10f4aba45ec6e2ba4ccbc2ccd7a5b,sha256:a3ae78a76e1636738e654bfee66d23a3d7622d7b20a1292942adbf89fef24b57,sha256:ed4f5999d15fe9e2bb8dfdfeb9cf119ad6bb99e0a94114740bfe50c25655b965,human-authored/deterministic-map-v1,replay:sha256:3cf800d236ae1f2244bb57389f9fc1e43ea3779f19dc87fd087251e15c932db6,10–19 years,Females,10 Weapons and explosives offences
