publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,observation_period_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_observation_period
2023-06-30,2011-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,23,observed,23,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R23C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,01 Homicide and related offences,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,5761,observed,5761,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R25C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,021 Assault,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_029_OTHER_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,215,observed,215,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R26C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,029 Other acts intended to cause injury,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_02_ACTS_INTENDED_TO_CAUSE_INJURY,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,5977,observed,5977,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R24C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,02 Acts intended to cause injury,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_0311_AGGRAVATED_SEXUAL_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,328,observed,328,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R29C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,0311 Aggravated sexual assault,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_0312_NON_AGGRAVATED_SEXUAL_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,47,observed,47,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R30C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,0312 Non-aggravated sexual assault,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_031_SEXUAL_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,371,observed,371,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R28C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,031 Sexual assault,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_032_NON_ASSAULTATIVE_SEXUAL_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,34,observed,34,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R31C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,032 Non-assaultative sexual offences,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_03_SEXUAL_ASSAULT_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,401,observed,401,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R27C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,03 Sexual assault and related offences,Principal offence,2010–11
2023-06-30,2011-06-30,CHAR_04_DANGEROUS_NEGLIGENT_ACTS,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,2011-06-30,defendant-count,person,1619,observed,1619,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 73,R32C2,sha256:aed4bb3b683b075c531f859b998fabe2513d40258767ca4078308a2511661678,criminal-courts-australia,sha256:0d644858f234e9b0de783404c594dc68df913b677b847e096eb0cdd98d1f212b,tidy.table-family-acceptance/v1,sha256:d6032ccce42603c465c2e1ebd2038b5d06ba71939ab73ae6621bd80bdc7f0c3a,sha256:27cfc5b496629f400c0419b7c2ec0684d0d9fe1060cf4a50cd518086bead3a58,sha256:ac2f1077158b18e4bebf896baaebb0a3bf117ecbea61015680b5323423693795,human-authored/deterministic-map-v1,replay:sha256:e29e58bfd2e38f0f56e43622a00ad56c204240bfe7393800038c054659835751,04 Dangerous/negligent acts,Principal offence,2010–11
