publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,jurisdiction_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_jurisdiction
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,ACT,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C9,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,ACT
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,AUS,defendant-count,person,14,observed,14,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C10,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,Aust.
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,NSW,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C2,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,NSW
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,NT,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C8,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,NT
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,QLD,defendant-count,person,8,observed,8,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C4,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,Qld
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,SA,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C5,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,SA
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,TAS,defendant-count,person,4,observed,4,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C7,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,Tas.
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,VIC,defendant-count,person,0,observed,0,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C3,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,Vic.
2023-06-30,2023-06-30,CHAR_01_HOMICIDE_AND_RELATED_OFFENCES,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,WA,defendant-count,person,3,observed,3,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R22C6,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,01 Homicide and related offences,Principal offence,WA
2023-06-30,2023-06-30,CHAR_021_ASSAULT,GROUP_PRINCIPAL_OFFENCE_ANZSOC_2011,ACT,defendant-count,person,72,observed,72,sha256:654c5be8d7c89aa4b9de596225c5785ce737f922cf3cea2a24834d56cdedf811,Table 74,R24C9,sha256:1ce8950c2a22e11afe814597f0d3ca05c3163661f6b4345bd5ddc72844d0fc53,criminal-courts-australia,sha256:5fcf78f0bf1de0fb3c3879b0d8c961294c2e7d55ba480fe9b20c486047c8eea4,tidy.table-family-acceptance/v1,sha256:1b3e26e6ec63f70cfd7f09079763d2d067ddcb66512856e265a53983c7352254,sha256:a120ed6204d6474dcff1bac5677517b1b00dfbf03801a8fb5f109f76dec32065,sha256:8e34afe5905dae9f4b4cbbf1390066e13b4560b13c90e8c34af3a181995981f5,human-authored/deterministic-map-v1,replay:sha256:541cbaf3b5c32f8e13eff25445f39400b1e89f048470c51fd21c1155eaaf2842,021 Assault,Principal offence,ACT
