reference_date,observation_period_id,jurisdiction_id,characteristic_category_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_observation_period,raw_jurisdiction,raw_characteristic_category
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R104C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,AUSTRALIAN CAPITAL TERRITORY,Aboriginal and Torres Strait Islander
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,FEMALE_cf112cb6,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R97C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,AUSTRALIAN CAPITAL TERRITORY,Female
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,MALE_9050711d,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R96C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,AUSTRALIAN CAPITAL TERRITORY,Male
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,MEAN_AGE_YEARS_54827fe2,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R100C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,AUSTRALIAN CAPITAL TERRITORY,Mean age (years)
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,MEDIAN_AGE_YEARS_ada3abad,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R101C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,AUSTRALIAN CAPITAL TERRITORY,Median age (years)
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,NON_INDIGENOUS_2f231fea,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R105C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,AUSTRALIAN CAPITAL TERRITORY,Non-Indigenous
2021-06-30,2011_72d1b5da,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,TOTAL_PAROLEES_2d9e5d9a,published-value,published-unit,,not_applicable,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R93C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,AUSTRALIAN CAPITAL TERRITORY,Total parolees
2021-06-30,2011_72d1b5da,NEW_SOUTH_WALES_92f089b8,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,published-value,published-unit,0,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R20C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,NEW SOUTH WALES,Aboriginal and Torres Strait Islander
2021-06-30,2011_72d1b5da,NEW_SOUTH_WALES_92f089b8,FEMALE_cf112cb6,published-value,published-unit,32,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R13C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,NEW SOUTH WALES,Female
2021-06-30,2011_72d1b5da,NEW_SOUTH_WALES_92f089b8,MALE_9050711d,published-value,published-unit,114,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_39,R12C2,sha256:50d0edc1d5daaa08fe4fe705234743e5c44e79a500858d849549567ef88f33d0,prisoners-in-australia,sha256:73a895a69106fac28e0f29c303e94e60e8fc493de45637f1250de949dd5b8bd6,tidy.table-family-acceptance/v2,sha256:26fc28345e80681b66f6c2b9db4b5842a182f1337872caa2d306f17f30dd3df9,sha256:e88bc995cf8b2c1b840a94cb929abf1768fb2a3234201665e322bd4f8011010d,sha256:49123423f6b7fe38fcb80c40c87806a39481b5ef604612ea3f922fdf497a247c,human-authored/deterministic-geometry-v1,replay:sha256:95f10d6f02fd24f382554d66ce11043207cf7bb2fd25841004521ff700d84e04,2011,NEW SOUTH WALES,Male
