reference_date,jurisdiction_id,prisoner_statistic_id,characteristic_category_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_prisoner_statistic,raw_characteristic_category
2021-06-30,ACT_ee71241e,FEDERAL_PAROLEES_12a2e4f6,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,published-value,published-unit,0,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R34C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PAROLEES,Aboriginal and Torres Strait Islander
2021-06-30,ACT_ee71241e,FEDERAL_PAROLEES_12a2e4f6,FEMALE_cf112cb6,published-value,published-unit,0,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R27C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PAROLEES,Female
2021-06-30,ACT_ee71241e,FEDERAL_PAROLEES_12a2e4f6,MALE_9050711d,published-value,published-unit,3,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R26C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PAROLEES,Male
2021-06-30,ACT_ee71241e,FEDERAL_PAROLEES_12a2e4f6,MEAN_AGE_YEARS_54827fe2,published-value,published-unit,,suppressed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R30C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PAROLEES,Mean age (years)
2021-06-30,ACT_ee71241e,FEDERAL_PAROLEES_12a2e4f6,MEDIAN_AGE_YEARS_ada3abad,published-value,published-unit,,suppressed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R31C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PAROLEES,Median age (years)
2021-06-30,ACT_ee71241e,FEDERAL_PAROLEES_12a2e4f6,NON_INDIGENOUS_2f231fea,published-value,published-unit,3,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R35C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PAROLEES,Non-Indigenous
2021-06-30,ACT_ee71241e,FEDERAL_PAROLEES_12a2e4f6,TOTAL_PAROLEES_2d9e5d9a,published-value,published-unit,3,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R23C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PAROLEES,Total parolees
2021-06-30,ACT_ee71241e,FEDERAL_PRISONERS_c3845d4b,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,published-value,published-unit,0,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R19C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PRISONERS,Aboriginal and Torres Strait Islander
2021-06-30,ACT_ee71241e,FEDERAL_PRISONERS_c3845d4b,FEMALE_cf112cb6,published-value,published-unit,0,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R12C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PRISONERS,Female
2021-06-30,ACT_ee71241e,FEDERAL_PRISONERS_c3845d4b,MALE_9050711d,published-value,published-unit,10,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_36,R11C9,sha256:a505e98add431cff07c032d7fa6f7af576d270a847eb94ff9ebcfd758c65216c,prisoners-in-australia,sha256:ffb7f000a4ca4ca895ca677f35a67f5aac8c0d15a55a4d51aef90df9edcd23dc,tidy.table-family-acceptance/v2,sha256:3df64c5329c4c6f6ddecca399b2bd1af57241d6c14c8efc97ce0616f8f6b46f5,sha256:50f0fc0082172d02532df494eabc4a6ebff2d40e70f5e4f6f7250dc1c93c3ba1,sha256:fedaff21555bd8639cbda90bf115026d0eb9ece135586b365137316c73058374,human-authored/deterministic-geometry-v1,replay:sha256:baf3d653fe11110e1a8b17e94b33e64f9639eb4ba6e260c952eb3104e7ac6f07,ACT,FEDERAL PRISONERS,Male
