reference_date,most_serious_offence_id,indigenous_status_id,expected_time_to_serve_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_most_serious_offence,raw_indigenous_status,raw_expected_time_to_serve
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,10_UNDER_15_YEARS_c3f4adc6,published-value,published-unit,71,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C8,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,10 & under 15 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,15_UNDER_20_YEARS_52a374dc,published-value,published-unit,92,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C9,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,15 & under 20 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,1_UNDER_2_YEARS_ada57682,published-value,published-unit,7,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C5,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,1 & under 2 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,20_YEARS_OVER_d9ed9a94,published-value,published-unit,92,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C10,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,20 years & over
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,2_UNDER_5_YEARS_c6777906,published-value,published-unit,41,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C6,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,2 & under 5 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,3_UNDER_6_MONTHS_87c804fe,published-value,published-unit,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C3,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,3 & under 6 months
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,5_UNDER_10_YEARS_febfe63e,published-value,published-unit,85,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C7,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,5 & under 10 years
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,6_UNDER_12_MONTHS_3db9707f,published-value,published-unit,0,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C4,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,6 & under 12 months
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,LIFE_0c23e313,published-value,published-unit,73,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C11,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,Life
2021-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,MEAN_YEARS_6cb1f395,published-value,published-unit,14.4,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_12,R7C15,sha256:7e74cf05eb8d9ea03608f9978657492182c26b5149854d86a0e558dad677466d,prisoners-in-australia,sha256:1f8ae7322d5cc459229d70339c05bec77a9027338d9821166c0398dbc618b02b,tidy.table-family-acceptance/v2,sha256:9da10e6d2ce737bba7ac279ff246973a88be6c0390a318eeb6d94f88a1a0158e,sha256:d57296e4f0c7c6077fbff5760b4063d6e0f246503a0c3d470d18d8bed67e9b9b,sha256:7275d8e376139a6226d929a2afb9ca9988fa90dd3c080442f6c1e6e4654931a7,human-authored/deterministic-geometry-v1,replay:sha256:37fd35540a4acc64472256713f567094b136b23f51d75410a20bcc8bd9b4248f,01 Homicide and related offences,ABORIGINAL AND TORRES STRAIT ISLANDER,Mean (years)
