reference_date,observation_period_id,most_serious_offence_id,statistic_basis_id,sex_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_observation_period,raw_most_serious_offence,raw_statistic_basis,raw_sex
2021-06-30,2011_72d1b5da,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NO_38306492,FEMALES_29864773,published-value,published-unit,186,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R20C2,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,01 Homicide and related offences,no.,FEMALES
2021-06-30,2011_72d1b5da,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NO_38306492,MALES_66d5f994,published-value,published-unit,2149,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R8C2,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,01 Homicide and related offences,no.,MALES
2021-06-30,2011_72d1b5da,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,NO_38306492,PERSONS_4d6dccab,published-value,published-unit,2331,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R32C2,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,01 Homicide and related offences,no.,PERSONS
2021-06-30,2011_72d1b5da,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,VALUE_bbf3f11c,FEMALES_29864773,published-value,published-unit,12.2,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R20C3,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,01 Homicide and related offences,%,FEMALES
2021-06-30,2011_72d1b5da,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,VALUE_bbf3f11c,MALES_66d5f994,published-value,published-unit,10.3,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R8C3,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,01 Homicide and related offences,%,MALES
2021-06-30,2011_72d1b5da,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,VALUE_bbf3f11c,PERSONS_4d6dccab,published-value,published-unit,10.4,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R32C3,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,01 Homicide and related offences,%,PERSONS
2021-06-30,2011_72d1b5da,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,NO_38306492,FEMALES_29864773,published-value,published-unit,217,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R20C4,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,02 Acts intended to cause injury,no.,FEMALES
2021-06-30,2011_72d1b5da,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,NO_38306492,MALES_66d5f994,published-value,published-unit,3429,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R8C4,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,02 Acts intended to cause injury,no.,MALES
2021-06-30,2011_72d1b5da,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,NO_38306492,PERSONS_4d6dccab,published-value,published-unit,3652,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R32C4,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,02 Acts intended to cause injury,no.,PERSONS
2021-06-30,2011_72d1b5da,02_ACTS_INTENDED_TO_CAUSE_INJURY_149975bf,VALUE_bbf3f11c,FEMALES_29864773,published-value,published-unit,14.2,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_10,R20C5,sha256:d3620e111a554662bfac2dca8fa4790342a3b94a3b513e1e35b82d6b0b888cf0,prisoners-in-australia,sha256:2bfe427ef740042677390a46611784fcf36f47c773bd3a9640ce90841ddd2dda,tidy.table-family-acceptance/v2,sha256:2d6208d3a3c011fb035e3923a7667e6793a6b25bb7d7fe198b66ba7c2d1a9f2f,sha256:4c0ab16012e3e9b36f3562ddb7b398b785f44530e54aa97f5ad2ec09d24f4068,sha256:2c30dcd919ee7a3590b80db18a7001fc9974dde9881691b25d417cc844bd7c8b,human-authored/deterministic-geometry-v1,replay:sha256:4d831dfef3bd317fc60181f071c55e6e2bb4f884cd6c9ddc3ef8ce0dfecb4022,2011,02 Acts intended to cause injury,%,FEMALES
