publication_vintage_date,reference_date,age_group_id,sex_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_age_group,raw_sex,raw_observation_period,raw_statistic_basis
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,FEMALES_29864773,2019_20_b5ba4945,NUMBER_a081e07b,published-value,published-unit,505,observed,505,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R19C2,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Females,2019-20,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,FEMALES_29864773,2019_20_b5ba4945,PROPORTION_13745b70,published-value,published-unit,19,observed,19,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R19C5,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Females,2019-20,Proportion (%)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,FEMALES_29864773,2020_21_1ec8ed0a,NUMBER_a081e07b,published-value,published-unit,1255,observed,1255,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R19C3,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Females,2020-21,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,FEMALES_29864773,2020_21_1ec8ed0a,PROPORTION_13745b70,published-value,published-unit,15.9,observed,15.9,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R19C6,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Females,2020-21,Proportion (%)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,FEMALES_29864773,2021_22_98fc83da,NUMBER_a081e07b,published-value,published-unit,3202,observed,3202,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R19C4,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Females,2021-22,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,FEMALES_29864773,2021_22_98fc83da,PROPORTION_13745b70,published-value,published-unit,17.9,observed,17.9,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R19C7,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Females,2021-22,Proportion (%)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,MALES_66d5f994,2019_20_b5ba4945,NUMBER_a081e07b,published-value,published-unit,1305,observed,1305,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R8C2,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Males,2019-20,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,MALES_66d5f994,2019_20_b5ba4945,PROPORTION_13745b70,published-value,published-unit,17.7,observed,17.7,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R8C5,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Males,2019-20,Proportion (%)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,MALES_66d5f994,2020_21_1ec8ed0a,NUMBER_a081e07b,published-value,published-unit,2823,observed,2823,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R8C3,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Males,2020-21,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,MALES_66d5f994,2020_21_1ec8ed0a,PROPORTION_13745b70,published-value,published-unit,13.2,observed,13.2,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 1 ,R8C6,sha256:50511de9eb8ed54d2df952846789eae1d5ca76536ed88090eac4bcdeebb6589b,TargetScopedRecipeV02,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,sha256:f4ec27a73b7fd86ef1e002a295bf1493c3e39a5b0785523cd690b4f52d8a82df,recorded-crime-offenders,sha256:d7c167a00fbf14f2d707789f3f0628fb55ac6c20779bef3d7643248355dbfa18,tidy.table-family-acceptance/v2,sha256:fed1c4061e72e1a2a2a92eb0e033c8f5318d41a39287d5d348420eda1f0e9760,sha256:2faa04dbf2812b15c8b64fc8a9179c2cbddc82591936d521490fd9ded111157d,sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:f7e44305329e97bd886b8468e70ef4353aa7fccf2da30be32e4190bd8c9329dc,10–19 years,Males,2020-21,Proportion (%)
