publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,jurisdiction_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_jurisdiction,raw_observation_period,raw_statistic_basis
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2019_20_b5ba4945,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R195C2,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,Australian Capital Territory,2019-20,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2019_20_b5ba4945,PROPORTION_13745b70,published-value,published-unit,,not_available,na,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R195C5,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,Australian Capital Territory,2019-20,Proportion (%)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2020_21_1ec8ed0a,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R195C3,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,Australian Capital Territory,2020-21,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2020_21_1ec8ed0a,PROPORTION_13745b70,published-value,published-unit,0,observed,0,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R195C6,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,Australian Capital Territory,2020-21,Proportion (%)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2021_22_98fc83da,NUMBER_a081e07b,published-value,published-unit,36,observed,36,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R195C4,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,Australian Capital Territory,2021-22,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2021_22_98fc83da,PROPORTION_13745b70,published-value,published-unit,17.1,observed,17.1,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R195C7,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,Australian Capital Territory,2021-22,Proportion (%)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,NEW_SOUTH_WALES_92f089b8,2019_20_b5ba4945,NUMBER_a081e07b,published-value,published-unit,271,observed,271,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R13C2,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,New South Wales,2019-20,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,NEW_SOUTH_WALES_92f089b8,2019_20_b5ba4945,PROPORTION_13745b70,published-value,published-unit,19.7,observed,19.7,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R13C5,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,New South Wales,2019-20,Proportion (%)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,NEW_SOUTH_WALES_92f089b8,2020_21_1ec8ed0a,NUMBER_a081e07b,published-value,published-unit,874,observed,874,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R13C3,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,New South Wales,2020-21,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,NEW_SOUTH_WALES_92f089b8,2020_21_1ec8ed0a,PROPORTION_13745b70,published-value,published-unit,37.1,observed,37.1,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 2,R13C6,sha256:f35e12e03962da1d2daa53da3dfe8c78a1a9adceb7baacb96c2e865700657f97,TargetScopedRecipeV02,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,sha256:ab9ba471078ab42f2e75696a8b8769ac19404b1c665288834178b4575ce33849,recorded-crime-offenders,sha256:243cbf9fca91ba248ed7a2abb709f9b3d101f213e5e1818b739dafb13c0881d4,tidy.table-family-acceptance/v2,sha256:e331f98cdf561645a403a2ab02cfad14b506492a12253b03fcbe7e7b25c33fdc,sha256:94aa6c0ec5aa0d8c909c93985c1cb3d1ec5ee053baf8990734042cd85745fbe2,sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:b55492506b3971d1efabe43644648c42fc8392a269cae65a3a2f8707b40e9fc8,10–19 years,Age,New South Wales,2020-21,Proportion (%)
