publication_vintage_date,reference_date,method_of_proceeding_id,jurisdiction_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_method_of_proceeding,raw_jurisdiction,raw_observation_period,raw_statistic_basis
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2019_20_b5ba4945,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R38C2,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,Australian Capital Territory,2019-20,Number
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2019_20_b5ba4945,PROPORTION_13745b70,published-value,published-unit,,not_available,na,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R38C5,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,Australian Capital Territory,2019-20,Proportion (%)
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2020_21_1ec8ed0a,NUMBER_a081e07b,published-value,published-unit,7,observed,7,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R38C3,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,Australian Capital Territory,2020-21,Number
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2020_21_1ec8ed0a,PROPORTION_13745b70,published-value,published-unit,35,observed,35,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R38C6,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,Australian Capital Territory,2020-21,Proportion (%)
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2021_22_98fc83da,NUMBER_a081e07b,published-value,published-unit,114,observed,114,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R38C4,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,Australian Capital Territory,2021-22,Number
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2021_22_98fc83da,PROPORTION_13745b70,published-value,published-unit,52.8,observed,52.8,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R38C7,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,Australian Capital Territory,2021-22,Proportion (%)
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,NEW_SOUTH_WALES_92f089b8,2019_20_b5ba4945,NUMBER_a081e07b,published-value,published-unit,202,observed,202,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R8C2,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,New South Wales,2019-20,Number
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,NEW_SOUTH_WALES_92f089b8,2019_20_b5ba4945,PROPORTION_13745b70,published-value,published-unit,13,observed,13,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R8C5,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,New South Wales,2019-20,Proportion (%)
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,NEW_SOUTH_WALES_92f089b8,2020_21_1ec8ed0a,NUMBER_a081e07b,published-value,published-unit,189,observed,189,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R8C3,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,New South Wales,2020-21,Number
2022-06-30,2022-06-30,COURT_ACTION_f2f508e1,NEW_SOUTH_WALES_92f089b8,2020_21_1ec8ed0a,PROPORTION_13745b70,published-value,published-unit,7.2,observed,7.2,sha256:005dbd4e167303d479a4de43ffa7eb91f3db31103b0430622fdc467c2a66d1c1,Table 3,R8C6,sha256:ad3a0b5b8d639a2b49f2b6edd82e8f00358078058195099597aac1b7c26188d3,RecipeV01,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,sha256:61f715d2bae9d891cb7d0091cb300009b6088379d880c5f6d923a7bc1b45aa4c,recorded-crime-offenders,sha256:a7c5144b52c7e430a34153a06331a9583e575d9f40481880799a03cf6c9bbf05,tidy.table-family-acceptance/v2,sha256:b09a43c6140638facac909b9c0f6fcc0904786b1da7f2126e796ec777d7b6f00,sha256:f275654d09f0cfc8a2f709104f650604db9c76e2954c28e7cc69f38ed71202d3,sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:99cf02e4f31aa7d45adb90d491a44b5ae5619721dfff546222b8ff7abad5be28,Court action,New South Wales,2020-21,Proportion (%)
