publication_vintage_date,reference_date,principal_offence_id,indigenous_status_id,sex_id,jurisdiction_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_indigenous_status,raw_sex,raw_jurisdiction,raw_statistic_basis
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R109C3,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,Australian Capital Territory,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R109C6,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,Australian Capital Territory,Offender rate(c)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,NEW_SOUTH_WALES_92f089b8,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R9C3,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,New South Wales(f),Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,NEW_SOUTH_WALES_92f089b8,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R9C6,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,New South Wales(f),Offender rate(c)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,NORTHERN_TERRITORY_a1d418fe,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R84C3,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,Northern Territory,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,NORTHERN_TERRITORY_a1d418fe,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R84C6,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,Northern Territory,Offender rate(c)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,QUEENSLAND_8f0791ed,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R34C3,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,Queensland(h),Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,QUEENSLAND_8f0791ed,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R34C6,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,Queensland(h),Offender rate(c)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,SOUTH_AUSTRALIA_0abd141a,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R59C3,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,South Australia,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,SOUTH_AUSTRALIA_0abd141a,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 8,R59C6,sha256:f179fee2ac6f372dc11e392bc6965c7a31d1449c96b4f160c49501adc343d65e,RecipeV01,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,sha256:0b0462493ef298bf68e8764025be5c211b2faf0544cc16060326fc69f5bb2b50,recorded-crime-offenders,sha256:9d8579ddad7c2db15de1cbb538e1ff51d52dd7bfa64ea8c41918815eeb0f346a,tidy.table-family-acceptance/v2,sha256:1da907e4ecb7fa6d88faf115f0cc145e9ace0ca9a9a24b4a3b2d9d6d55bc7ac8,sha256:c9963bebebc77b8a76c26f9331adc4669298a69991d8b66bc2ba408d12faf151,sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3284fa978508853eb6669ea348c250f6ff114b64107d0a915d861ef06e95d0c6,01 Homicide and related offences,Aboriginal and Torres Strait Islander,Females,South Australia,Offender rate(c)
