publication_vintage_date,reference_date,age_group_id,indigenous_status_id,sex_id,jurisdiction_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_age_group,raw_indigenous_status,raw_sex,raw_jurisdiction,raw_statistic_basis
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R133C3,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,Australian Capital Territory,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R133C6,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,Australian Capital Territory,Offender rate(c)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,NEW_SOUTH_WALES_92f089b8,NUMBER_a081e07b,published-value,published-unit,397,observed,397,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R9C3,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,New South Wales,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,NEW_SOUTH_WALES_92f089b8,OFFENDER_RATE_bf190e83,published-value,published-unit,1338.2,observed,1338.2,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R9C6,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,New South Wales,Offender rate(c)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,NORTHERN_TERRITORY_a1d418fe,NUMBER_a081e07b,published-value,published-unit,46,observed,46,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R102C3,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,Northern Territory,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,NORTHERN_TERRITORY_a1d418fe,OFFENDER_RATE_bf190e83,published-value,published-unit,690.4,observed,690.4,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R102C6,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,Northern Territory,Offender rate(c)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,QUEENSLAND_8f0791ed,NUMBER_a081e07b,published-value,published-unit,144,observed,144,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R40C3,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,Queensland,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,QUEENSLAND_8f0791ed,OFFENDER_RATE_bf190e83,published-value,published-unit,549.2,observed,549.2,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R40C6,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,Queensland,Offender rate(c)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,SOUTH_AUSTRALIA_0abd141a,NUMBER_a081e07b,published-value,published-unit,35,observed,35,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R71C3,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,South Australia,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,FEMALES_29864773,SOUTH_AUSTRALIA_0abd141a,OFFENDER_RATE_bf190e83,published-value,published-unit,718.8,observed,718.8,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 7,R71C6,sha256:09f2172e0429c51fef979d430b5bacf3b3b4524d122d28b4fffa4f2943523893,RecipeV01,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,sha256:4b674b9bf4c6d75d02e4093882be8738e5d38c0e27c82cc9dfbf7ffeaecfbc99,recorded-crime-offenders,sha256:dd843825d9240c0bbd639537e969dc6dfa4a0d442d92a1ef0efb9c4b4825b188,tidy.table-family-acceptance/v2,sha256:8d5374a4b062d7c31ca53d4dfba26e33ce976b3ea1fa5604e88066637ed7f36a,sha256:ecd4d039c7e615f1476aea89fe0ba4ea570626a5e3fe8373007ae781a2956754,sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:3644615e684a6ad758bcfc756f6b3909cd4dcac7de3a96a0a31ec62132c255c1,10–19 years,Aboriginal and Torres Strait Islander,Females,South Australia,Offender rate(c)
