publication_vintage_date,reference_date,sex_id,indigenous_status_id,jurisdiction_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_sex,raw_indigenous_status,raw_jurisdiction,raw_observation_period,raw_statistic_basis
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2016_17_14c8c17c,NUMBER_a081e07b,published-value,published-unit,17,observed,17,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C2,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2016–17,Number
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2016_17_14c8c17c,OFFENDER_RATE_bf190e83,published-value,published-unit,574.9,observed,574.9,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C8,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2016–17,Offender rate(c)
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2017_18_e0619229,NUMBER_a081e07b,published-value,published-unit,26,observed,26,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C3,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2017–18,Number
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2017_18_e0619229,OFFENDER_RATE_bf190e83,published-value,published-unit,862.6,observed,862.6,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C9,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2017–18,Offender rate(c)
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2018_19_3fe15a03,NUMBER_a081e07b,published-value,published-unit,6,observed,6,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C4,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2018–19,Number
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2018_19_3fe15a03,OFFENDER_RATE_bf190e83,published-value,published-unit,194.5,observed,194.5,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C10,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2018–19,Offender rate(c)
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2019_20_6d3dcb6c,NUMBER_a081e07b,published-value,published-unit,14,observed,14,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C5,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2019–20,Number
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2019_20_6d3dcb6c,OFFENDER_RATE_bf190e83,published-value,published-unit,442.2,observed,442.2,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C11,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2019–20,Offender rate(c)
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2020_21_d6db3b1d,NUMBER_a081e07b,published-value,published-unit,10,observed,10,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C6,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2020–21,Number
2022-06-30,2022-06-30,FEMALES_29864773,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,2020_21_d6db3b1d,OFFENDER_RATE_bf190e83,published-value,published-unit,308.1,observed,308.1,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 6,R62C12,sha256:48afa4ed165c2a95cbf35d6002fd8e69fee635bf45138e55aaa393258ef9596e,RecipeV01,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,sha256:36bc30167cfad86ff0baea7dc306b44d3e1584c1e6dbd2ffef48610039399c3d,recorded-crime-offenders,sha256:e8e033a436d95d11616eaf317477d36e0517688948a412b5239eb727bbbc4684,tidy.table-family-acceptance/v2,sha256:9059e51ad66e5888d67bf6abc68ce1d29b6f4b547d01e9000512901b92c11b9d,sha256:50a6241334b5ade3cc33f7b8a8997b68872dadba3b6a8192c68c16b86712fddf,sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:23607f3abf92e85655e6b791e8e6af7552ef23a17dccd56df5d9d32fe925ee6f,Females,Aboriginal and Torres Strait Islander,Australian Capital Territory,2020–21,Offender rate(c)
