publication_vintage_date,reference_date,principal_offence_id,sex_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_sex,raw_observation_period,raw_statistic_basis
2022-06-30,2022-06-30,011_MURDER_2011d70f,FEMALES_29864773,2019_20_b5ba4945,NUMBER_a081e07b,published-value,published-unit,19,observed,19,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R31C2,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Females,2019-20,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,FEMALES_29864773,2019_20_b5ba4945,OFFENDER_RATE_bf190e83,published-value,published-unit,0.2,observed,0.2,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R31C5,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Females,2019-20,Offender rate(b)
2022-06-30,2022-06-30,011_MURDER_2011d70f,FEMALES_29864773,2020_21_1ec8ed0a,NUMBER_a081e07b,published-value,published-unit,20,observed,20,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R31C3,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Females,2020-21,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,FEMALES_29864773,2020_21_1ec8ed0a,OFFENDER_RATE_bf190e83,published-value,published-unit,0.2,observed,0.2,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R31C6,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Females,2020-21,Offender rate(b)
2022-06-30,2022-06-30,011_MURDER_2011d70f,FEMALES_29864773,2021_22_98fc83da,NUMBER_a081e07b,published-value,published-unit,15,observed,15,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R31C4,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Females,2021-22,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,FEMALES_29864773,2021_22_98fc83da,OFFENDER_RATE_bf190e83,published-value,published-unit,0.1,observed,0.1,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R31C7,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Females,2021-22,Offender rate(b)
2022-06-30,2022-06-30,011_MURDER_2011d70f,MALES_66d5f994,2019_20_b5ba4945,NUMBER_a081e07b,published-value,published-unit,55,observed,55,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R9C2,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Males,2019-20,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,MALES_66d5f994,2019_20_b5ba4945,OFFENDER_RATE_bf190e83,published-value,published-unit,0.5,observed,0.5,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R9C5,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Males,2019-20,Offender rate(b)
2022-06-30,2022-06-30,011_MURDER_2011d70f,MALES_66d5f994,2020_21_1ec8ed0a,NUMBER_a081e07b,published-value,published-unit,45,observed,45,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R9C3,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Males,2020-21,Number
2022-06-30,2022-06-30,011_MURDER_2011d70f,MALES_66d5f994,2020_21_1ec8ed0a,OFFENDER_RATE_bf190e83,published-value,published-unit,0.4,observed,0.4,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 2,R9C6,sha256:fca76477d527345694f6877bb7f2d0305d4afcd25382e06ba45308b819b8ea08,RecipeV01,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,sha256:569616ae4d9879c6eb179965a5eaeff3d904023b8213bd6c8988df1f2cf4e0bb,recorded-crime-offenders,sha256:d016d419ff3ed7e77a2e448bbb6c2bd37587e7db9099396f3feb6fc11d2e0ec4,tidy.table-family-acceptance/v2,sha256:c2d82bbd2d493aaf57900bca0e5f475e63ceb397b67277d29dd8c9906f2b2327,sha256:7a3f8a4454691c32577582cd2620b48c9472aa4a8e0eeb3954107462d7f04598,sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:8d7304f57f28793b40e75b0a585e9b91d9cd76b822b7f272d8f3136e7a3aa7d5,011  Murder,Males,2020-21,Offender rate(b)
