publication_vintage_date,reference_date,characteristic_category_id,characteristic_group_id,sex_id,jurisdiction_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_characteristic_category,raw_characteristic_group,raw_sex,raw_jurisdiction,raw_statistic_basis
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,NUMBER_a081e07b,published-value,published-unit,8,observed,8,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R154C3,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,Australian Capital Territory,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,OFFENDER_RATE_bf190e83,published-value,published-unit,30.6,observed,30.6,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R154C6,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,Australian Capital Territory,Offender rate(b)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,NEW_SOUTH_WALES_92f089b8,NUMBER_a081e07b,published-value,published-unit,1065,observed,1065,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R9C3,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,New South Wales,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,NEW_SOUTH_WALES_92f089b8,OFFENDER_RATE_bf190e83,published-value,published-unit,225.5,observed,225.5,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R9C6,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,New South Wales,Offender rate(b)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,NORTHERN_TERRITORY_a1d418fe,NUMBER_a081e07b,published-value,published-unit,48,observed,48,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R132C3,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,Northern Territory,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,NORTHERN_TERRITORY_a1d418fe,OFFENDER_RATE_bf190e83,published-value,published-unit,308,observed,308,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R132C6,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,Northern Territory,Offender rate(b)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,QUEENSLAND_8f0791ed,NUMBER_a081e07b,published-value,published-unit,302,observed,302,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R53C3,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,Queensland,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,QUEENSLAND_8f0791ed,OFFENDER_RATE_bf190e83,published-value,published-unit,91.7,observed,91.7,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R53C6,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,Queensland,Offender rate(b)
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,SOUTH_AUSTRALIA_0abd141a,NUMBER_a081e07b,published-value,published-unit,106,observed,106,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R75C3,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,South Australia,Number
2022-06-30,2022-06-30,10_19_YEARS_76bd9fd0,AGE_ab864bbd,FEMALES_29864773,SOUTH_AUSTRALIA_0abd141a,OFFENDER_RATE_bf190e83,published-value,published-unit,103.7,observed,103.7,sha256:4b804c75ca8d586ea9607a6bfd676b40a1f83d8b557bbee07155faefda958228,Table 5,R75C6,sha256:bc29b7c9ab0194b50f69b15f67ca7f3476044a071be82b8372df06765b0cead0,TargetScopedRecipeV02,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,sha256:c53aeeb5aeb1e3670403dac8a63291b5d1668a9710908158fae7bc62ec3fb310,recorded-crime-offenders,sha256:6289154c02e7754eb44f51c47b32375b5ed6daa6fd0f1c63a8316fcda4c7b6c0,tidy.table-family-acceptance/v2,sha256:7b8795a7d25fffafef1029356e46bdef948412ec424b999a40d7a551342070c0,sha256:bda8ee959a672c3da33c5571e261a367ee2bea90eb1af32bfbdc9d37fca22631,sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,provider-free/offenders-remaining-c4-v1/target-scoped-recipe-v02,replay:sha256:3b9c923683ece9a8230b342b34d0c779712e3febb477c8b185f55d8fc7e2316a,10–19 years,Age,Females,South Australia,Offender rate(b)
