publication_vintage_date,reference_date,observation_period_id,jurisdiction_id,indigenous_status_id,rate_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_observation_period,raw_jurisdiction,raw_indigenous_status,raw_rate_basis
2022-06-30,2022-06-30,2008_09_f695681e,ACT_ee71241e,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AGE_STANDARDISED_RATE_81289a4f,published-value,published-unit,,suppressed,np,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R23C14,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,ACT,Aboriginal and Torres Strait Islander,Age standardised rate(h)
2022-06-30,2022-06-30,2008_09_f695681e,ACT_ee71241e,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,CRUDE_RATE_6a584428,published-value,published-unit,,suppressed,np,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R8C14,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,ACT,Aboriginal and Torres Strait Islander,Crude rate
2022-06-30,2022-06-30,2008_09_f695681e,ACT_ee71241e,NON_INDIGENOUS_2f231fea,AGE_STANDARDISED_RATE_81289a4f,published-value,published-unit,,suppressed,np,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R23C15,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,ACT,Non-Indigenous,Age standardised rate(h)
2022-06-30,2022-06-30,2008_09_f695681e,ACT_ee71241e,NON_INDIGENOUS_2f231fea,CRUDE_RATE_6a584428,published-value,published-unit,,suppressed,np,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R8C15,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,ACT,Non-Indigenous,Crude rate
2022-06-30,2022-06-30,2008_09_f695681e,ACT_ee71241e,RATIO_393f0dca,AGE_STANDARDISED_RATE_81289a4f,published-value,published-unit,,suppressed,np,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R23C16,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,ACT,Ratio(g),Age standardised rate(h)
2022-06-30,2022-06-30,2008_09_f695681e,ACT_ee71241e,RATIO_393f0dca,CRUDE_RATE_6a584428,published-value,published-unit,,suppressed,np,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R8C16,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,ACT,Ratio(g),Crude rate
2022-06-30,2022-06-30,2008_09_f695681e,NSW_647faf01,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,AGE_STANDARDISED_RATE_81289a4f,published-value,published-unit,5242.3,observed,5242.3,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R23C2,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,NSW(d),Aboriginal and Torres Strait Islander,Age standardised rate(h)
2022-06-30,2022-06-30,2008_09_f695681e,NSW_647faf01,ABORIGINAL_AND_TORRES_STRAIT_ISLANDER_99ff1289,CRUDE_RATE_6a584428,published-value,published-unit,6380.3,observed,6380.3,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R8C2,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,NSW(d),Aboriginal and Torres Strait Islander,Crude rate
2022-06-30,2022-06-30,2008_09_f695681e,NSW_647faf01,NON_INDIGENOUS_2f231fea,AGE_STANDARDISED_RATE_81289a4f,published-value,published-unit,1120.2,observed,1120.2,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R23C3,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,NSW(d),Non-Indigenous,Age standardised rate(h)
2022-06-30,2022-06-30,2008_09_f695681e,NSW_647faf01,NON_INDIGENOUS_2f231fea,CRUDE_RATE_6a584428,published-value,published-unit,1071.4,observed,1071.4,sha256:5dbd0ac29918698496cae3946ba62b1a4a9b5048501806013b5aabbc0a127f0d,Table 24,R8C3,sha256:7212b1a0eae95c67cd2df73149d116d5f224b91188cc80ffd2cbecfd66541b6c,RecipeV01,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,sha256:36f048c7138f3818e1f642f7c99aa500d37e84454859aa79d567b47bffb0ff8a,recorded-crime-offenders,sha256:5ca2a369a3f7b7b958ad4d64f331b1487702c0e9e6e57d91bccfa15b0fcf0d0b,tidy.table-family-acceptance/v2,sha256:475d3b7634429fc5e44fb3ae38a99a292213d4b74e453dd3afe938dc34ddead6,sha256:61019080822f20f2809bb0dc38165d87c1413a52703e19cef4028fcac11b465a,sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:56fee8303fa4b7a7f58824db1487c4a227c6ba28aa3c6dce135203aaf3ba5904,2008–09,NSW(d),Non-Indigenous,Crude rate
