publication_vintage_date,reference_date,principal_offence_id,method_of_proceeding_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_method_of_proceeding,raw_observation_period,raw_statistic_basis
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2008_09_f695681e,NUMBER_a081e07b,published-value,published-unit,84,observed,84,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C2,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2008–09,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2008_09_f695681e,PROPORTION_13745b70,published-value,published-unit,0.2,observed,0.2,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C16,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2008–09,Proportion (%)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2009_10_d4eb8e50,NUMBER_a081e07b,published-value,published-unit,74,observed,74,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C3,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2009–10,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2009_10_d4eb8e50,PROPORTION_13745b70,published-value,published-unit,0.2,observed,0.2,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C17,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2009–10,Proportion (%)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2010_11_bcb455ae,NUMBER_a081e07b,published-value,published-unit,68,observed,68,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C4,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2010–11,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2010_11_bcb455ae,PROPORTION_13745b70,published-value,published-unit,0.2,observed,0.2,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C18,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2010–11,Proportion (%)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2011_12_dd65d86c,NUMBER_a081e07b,published-value,published-unit,51,observed,51,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C5,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2011–12,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2011_12_dd65d86c,PROPORTION_13745b70,published-value,published-unit,0.2,observed,0.2,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C19,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2011–12,Proportion (%)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2012_13_94552411,NUMBER_a081e07b,published-value,published-unit,64,observed,64,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C6,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2012–13,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,COURT_ACTION_f2f508e1,2012_13_94552411,PROPORTION_13745b70,published-value,published-unit,0.2,observed,0.2,sha256:e62c23e9b7d18328fd8ee5df896b49ee47224e750bc76a6adf1e5610b23a27aa,Table 30,R8C20,sha256:91362710e0ec1123f283f84c64cbbef2d5f03bee063b24edd629c3464ee85d90,RecipeV01,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,sha256:5b5feae260c59abc78a728cec90e5b8dd3ee0a12e54f6fae635c5ebdf2c95486,recorded-crime-offenders,sha256:ce89538788924d3ffad80455596052a191ca2b7c102ed4735261fd17ca5d591a,tidy.table-family-acceptance/v2,sha256:b2b5217e12cfc6ff423443d259ec5e2ed530158534aa815faef9d12c93ed7210,sha256:116fd193508d2395c6355b0622bdd4c4b255c54a862a1f9197239b3ed1666836,sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:32b850cb2d88eb7a4811f63ea5d57908aeabb2214843b4915d115c2241035b71,01 Homicide and related offences,Court action,2012–13,Proportion (%)
