publication_vintage_date,reference_date,principal_offence_id,observation_period_id,sex_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_observation_period,raw_sex,raw_statistic_basis
2022-06-30,2009-06-30,ANZSOC_01,2009-06-30,FEMALE,COUNT,offender-count,person,106,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R25C2,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,01 Homicide and related offences,2008–09,Females,Number
2022-06-30,2009-06-30,ANZSOC_01,2009-06-30,FEMALE,RATE,offender-rate,per-100000-persons-aged-10-plus,1.1,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R25C16,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,01 Homicide and related offences,2008–09,Females,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_01,2009-06-30,MALE,COUNT,offender-count,person,714,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R8C2,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,01 Homicide and related offences,2008–09,Males,Number
2022-06-30,2009-06-30,ANZSOC_01,2009-06-30,MALE,RATE,offender-rate,per-100000-persons-aged-10-plus,7.7,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R8C16,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,01 Homicide and related offences,2008–09,Males,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_01,2009-06-30,PERSONS,COUNT,offender-count,person,816,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R42C2,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,01 Homicide and related offences,2008–09,Persons(h),Number
2022-06-30,2009-06-30,ANZSOC_01,2009-06-30,PERSONS,RATE,offender-rate,per-100000-persons-aged-10-plus,4.4,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R42C16,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,01 Homicide and related offences,2008–09,Persons(h),Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_02,2009-06-30,FEMALE,COUNT,offender-count,person,14583,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R26C2,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,02 Acts intended to cause injury,2008–09,Females,Number
2022-06-30,2009-06-30,ANZSOC_02,2009-06-30,FEMALE,RATE,offender-rate,per-100000-persons-aged-10-plus,154.4,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R26C16,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,02 Acts intended to cause injury,2008–09,Females,Offender rate(a)
2022-06-30,2009-06-30,ANZSOC_02,2009-06-30,MALE,COUNT,offender-count,person,57420,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R9C2,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,02 Acts intended to cause injury,2008–09,Males,Number
2022-06-30,2009-06-30,ANZSOC_02,2009-06-30,MALE,RATE,offender-rate,per-100000-persons-aged-10-plus,618.8,observed,sha256:26d72180f22725d7c71565dd77b8618e71b1e433c8ed88174b68083399f575ef,Table 2,R9C16,sha256:c6f0b96efa1b3c0aae9685e2059845db2add5d4371024fe1e820ff878486847e,recorded-crime-offenders,sha256:1b382b60eaa28c9bccaaa44eb105de93e05239563cb0ef21a267e38bf92268d8,tidy.table-family-acceptance/v1,sha256:3e9f0d60c76be53ccd9266a9b48d26f7cc6e59d50cd98ee5ab986d0cfd2cbc06,sha256:221191be3ad994688cd95bb5437224f7794e371e788538f283f9a7a999781903,sha256:00d57ff13e0f7d50530326361717be1cef356fa66dc48943e8b0f809b3fb6b31,human-authored/deterministic-map-v1,replay:sha256:32d5df709185624e15816136942388547713435e37327c4d92b5776b3d875061,02 Acts intended to cause injury,2008–09,Males,Offender rate(a)
