publication_vintage_date,reference_date,age_group_id,sex_id,observation_period_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_age_group,raw_sex,raw_observation_period,raw_statistic_basis
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2008_09_f695681e,NUMBER_a081e07b,published-value,published-unit,420,observed,420,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C2,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2008–09,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2008_09_f695681e,OFFENDER_RATE_bf190e83,published-value,published-unit,158,observed,158,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C17,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2008–09,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2009_10_d4eb8e50,NUMBER_a081e07b,published-value,published-unit,485,observed,485,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C3,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2009–10,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2009_10_d4eb8e50,OFFENDER_RATE_bf190e83,published-value,published-unit,181.4,observed,181.4,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C18,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2009–10,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2010_11_bcb455ae,NUMBER_a081e07b,published-value,published-unit,473,observed,473,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C4,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2010–11,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2010_11_bcb455ae,OFFENDER_RATE_bf190e83,published-value,published-unit,176,observed,176,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C19,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2010–11,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2011_12_dd65d86c,NUMBER_a081e07b,published-value,published-unit,387,observed,387,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C5,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2011–12,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2011_12_dd65d86c,OFFENDER_RATE_bf190e83,published-value,published-unit,143.8,observed,143.8,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C20,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2011–12,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2012_13_94552411,NUMBER_a081e07b,published-value,published-unit,372,observed,372,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C6,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2012–13,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2012_13_94552411,OFFENDER_RATE_bf190e83,published-value,published-unit,138.2,observed,138.2,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C21,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2012–13,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2013_14_4115b20a,NUMBER_a081e07b,published-value,published-unit,364,observed,364,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C7,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2013–14,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2013_14_4115b20a,OFFENDER_RATE_bf190e83,published-value,published-unit,134.4,observed,134.4,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C22,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2013–14,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2014_15_392dc544,NUMBER_a081e07b,published-value,published-unit,315,observed,315,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C8,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2014–15,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2014_15_392dc544,OFFENDER_RATE_bf190e83,published-value,published-unit,114.9,observed,114.9,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C23,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2014–15,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2015_16_ecc4ae2a,NUMBER_a081e07b,published-value,published-unit,342,observed,342,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C9,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2015–16,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2015_16_ecc4ae2a,OFFENDER_RATE_bf190e83,published-value,published-unit,121.9,observed,121.9,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C24,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2015–16,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2016_17_14c8c17c,NUMBER_a081e07b,published-value,published-unit,398,observed,398,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C10,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2016–17,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2016_17_14c8c17c,OFFENDER_RATE_bf190e83,published-value,published-unit,136.5,observed,136.5,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C25,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2016–17,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2017_18_e0619229,NUMBER_a081e07b,published-value,published-unit,384,observed,384,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C11,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2017–18,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2017_18_e0619229,OFFENDER_RATE_bf190e83,published-value,published-unit,126.8,observed,126.8,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C26,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2017–18,Offender rate(a)
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2018_19_3fe15a03,NUMBER_a081e07b,published-value,published-unit,363,observed,363,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C12,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2018–19,Number
2023-06-30,2023-06-30,10_11_YEARS_ee891258,FEMALES_29864773,2018_19_3fe15a03,OFFENDER_RATE_bf190e83,published-value,published-unit,117.3,observed,117.3,sha256:4b906c84f813b08f14be349eac33c8db3c5d7002310195c4cc39a3ac9d28efd5,Table 23,R14C27,sha256:97fee957d1ed9d8b1b7e4185e14b4db738f6f33c72d8dcbd504619e39dd80fea,RecipeV01,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,sha256:2b78efc7bd467cefb58f849776b19927f2e777191a3531aa1995854f901f488a,recorded-crime-offenders,sha256:18f68767bb698345b2fef0fe8d7952c868bc621a94e997ed2a7021c3d5bf5c24,tidy.table-family-acceptance/v2,sha256:a9c73244aa9f7347646eb82c470c4541a18b23d58d9553fff95185f8e11ed3b1,sha256:b9846d072ec114aad38d0dad5238146eb015c8c88101c3c6820bac8381506b3f,sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:9178f1c1f4d782170b280409ab3a55c4f9993b6f99075569a03e006d437c65ed,10–11 years,Females,2018–19,Offender rate(a)
