publication_vintage_date,reference_date,principal_offence_id,observation_period_id,jurisdiction_id,statistic_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_principal_offence,raw_observation_period,raw_jurisdiction,raw_statistic_basis
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,NUMBER_a081e07b,published-value,published-unit,0,observed,0,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R138C2,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,Australian Capital Territory,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,AUSTRALIAN_CAPITAL_TERRITORY_8af3780a,OFFENDER_RATE_bf190e83,published-value,published-unit,0,observed,0,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R138C16,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,Australian Capital Territory,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,NEW_SOUTH_WALES_92f089b8,NUMBER_a081e07b,published-value,published-unit,29,observed,29,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R8C2,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,New South Wales,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,NEW_SOUTH_WALES_92f089b8,OFFENDER_RATE_bf190e83,published-value,published-unit,4,observed,4,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R8C16,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,New South Wales,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,NORTHERN_TERRITORY_a1d418fe,NUMBER_a081e07b,published-value,published-unit,3,observed,3,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R120C2,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,Northern Territory,Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,NORTHERN_TERRITORY_a1d418fe,OFFENDER_RATE_bf190e83,published-value,published-unit,11.4,observed,11.4,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R120C16,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,Northern Territory,Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,QUEENSLAND_8f0791ed,NUMBER_a081e07b,published-value,published-unit,21,observed,21,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R46C2,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,Queensland(k),Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,QUEENSLAND_8f0791ed,OFFENDER_RATE_bf190e83,published-value,published-unit,4.5,observed,4.5,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R46C16,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,Queensland(k),Offender rate(a)
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,SOUTH_AUSTRALIA_0abd141a,NUMBER_a081e07b,published-value,published-unit,7,observed,7,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R65C2,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,South Australia(l),Number
2022-06-30,2022-06-30,01_HOMICIDE_AND_RELATED_OFFENCES_eaa3e291,2008_09_f695681e,SOUTH_AUSTRALIA_0abd141a,OFFENDER_RATE_bf190e83,published-value,published-unit,4.3,observed,4.3,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 20,R65C16,sha256:c2976867e0e7539b6dcb15cc7ece378d11407bc54cdf265a0cc2a33d28af637e,RecipeV01,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,sha256:2bd59402fdfe913b5dfd5afa4a2f0941dea568322bdf62d7baf80122a5548b3c,recorded-crime-offenders,sha256:790a424170edccbed951f2cf71c0931b3c8a877a3c5119ddd58c0984e9164725,tidy.table-family-acceptance/v2,sha256:4d7ede8436aa4d75e1ac58593d73c1b029b4731a7bd29feae62cb43862f80660,sha256:aa85a21dcb9b542bffbee03e34af838f2c0649a2e92ed88dc2adef11e718f7bf,sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:d10c91d5e40f1484ae2bbca3625d85f18644e1a7a264b80ca92ab4b6747a1fbf,01 Homicide and related offences,2008–09,South Australia(l),Offender rate(a)
