publication_vintage_date,reference_date,times_proceeded_id,sex_id,jurisdiction_id,statistic_basis_id,observation_period_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,recipe_protocol,replay_map_digest,c3_row_trace_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_times_proceeded,raw_sex,raw_jurisdiction,raw_statistic_basis,raw_observation_period
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,ACT_ee71241e,NUMBER_a081e07b,2020_21_1ec8ed0a,published-value,published-unit,59,observed,59,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R34C8,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,ACT,Number,2020-21
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,ACT_ee71241e,NUMBER_a081e07b,2021_22_98fc83da,published-value,published-unit,49,observed,49,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R15C8,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,ACT,Number,2021-22
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,ACT_ee71241e,PROPORTION_13745b70,2020_21_1ec8ed0a,published-value,published-unit,71.1,observed,71.1,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R34C15,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,ACT,Proportion (%),2020-21
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,ACT_ee71241e,PROPORTION_13745b70,2021_22_98fc83da,published-value,published-unit,75.4,observed,75.4,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R15C15,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,ACT,Proportion (%),2021-22
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,NSW_647faf01,NUMBER_a081e07b,2020_21_1ec8ed0a,published-value,published-unit,3738,observed,3738,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R34C2,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,NSW,Number,2020-21
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,NSW_647faf01,NUMBER_a081e07b,2021_22_98fc83da,published-value,published-unit,3806,observed,3806,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R15C2,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,NSW,Number,2021-22
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,NSW_647faf01,PROPORTION_13745b70,2020_21_1ec8ed0a,published-value,published-unit,67.8,observed,67.8,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R34C9,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,NSW,Proportion (%),2020-21
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,NSW_647faf01,PROPORTION_13745b70,2021_22_98fc83da,published-value,published-unit,70.1,observed,70.1,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R15C9,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,NSW,Proportion (%),2021-22
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,NT_ff9ec9f7,NUMBER_a081e07b,2020_21_1ec8ed0a,published-value,published-unit,89,observed,89,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R34C7,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,NT,Number,2020-21
2022-06-30,2022-06-30,1_6b86b273,FEMALES_29864773,NT_ff9ec9f7,NUMBER_a081e07b,2021_22_98fc83da,published-value,published-unit,93,observed,93,sha256:40fbc8c1a5d578ba7910a267b21ddababd16d6e434db4bb9ae9612f1ee6c0590,Table 22,R15C7,sha256:31111203122d9691cb7462521f7eb260cb5a5d9b15f15a3ac2d2dda4d6422df6,RecipeV01,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,sha256:e32df49f152b554dfed063febe97030e515a509e48b91a207e043f9944c85a0f,recorded-crime-offenders,sha256:2610a199b2bf58e99816b9c92ca4648be45139e96a87c1cab9522a8424e8d9d6,tidy.table-family-acceptance/v2,sha256:9c32f99ad0ca4938e11a5b8bf81a81eaf558b12a0a8ab64e8c2d64c8d57a9d11,sha256:a808ce93178d103c6b2b63cf08ba1d39e2aed0793cccdebfc3731c15c16284d6,sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,provider-free/offenders-remaining-c4-v1/semantic-map-v2-recipe-v01,replay:sha256:41e4a975bec50760611e70984a3d5c2689a4545477414bdba1d931a721d6a141,1,Females,NT,Number,2021-22
