publication_vintage_date,reference_date,jurisdiction_id,observation_period_id,indigenous_status_id,rate_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_observation_period,raw_indigenous_status,raw_rate_basis
2021-06-30,2011-06-30,ACT,2011-06-30,INDIGENOUS,AGE_STANDARDISED,age-standardised-imprisonment-rate,persons-per-100000-adult-population,832.7,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R7C9,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,ACT,2011,ABORIGINAL AND TORRES STRAIT ISLANDER,ABORIGINAL AND TORRES STRAIT ISLANDER
2021-06-30,2011-06-30,ACT,2011-06-30,NON_INDIGENOUS,AGE_STANDARDISED,age-standardised-imprisonment-rate,persons-per-100000-adult-population,84.2,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R19C9,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,ACT,2011,NON-INDIGENOUS,NON-INDIGENOUS
2021-06-30,2011-06-30,ACT,2011-06-30,TOTAL,RATE_RATIO,indigenous-to-non-indigenous-rate-ratio,ratio,9.9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R31C9,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,ACT,2011,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS
2021-06-30,2011-06-30,AUS,2011-06-30,INDIGENOUS,AGE_STANDARDISED,age-standardised-imprisonment-rate,persons-per-100000-adult-population,1532.5,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R7C10,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,Aust.,2011,ABORIGINAL AND TORRES STRAIT ISLANDER,ABORIGINAL AND TORRES STRAIT ISLANDER
2021-06-30,2011-06-30,AUS,2011-06-30,NON_INDIGENOUS,AGE_STANDARDISED,age-standardised-imprisonment-rate,persons-per-100000-adult-population,132.5,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R19C10,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,Aust.,2011,NON-INDIGENOUS,NON-INDIGENOUS
2021-06-30,2011-06-30,AUS,2011-06-30,TOTAL,RATE_RATIO,indigenous-to-non-indigenous-rate-ratio,ratio,11.6,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R31C10,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,Aust.,2011,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS
2021-06-30,2011-06-30,NSW,2011-06-30,INDIGENOUS,AGE_STANDARDISED,age-standardised-imprisonment-rate,persons-per-100000-adult-population,1452.3,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R7C2,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,NSW,2011,ABORIGINAL AND TORRES STRAIT ISLANDER,ABORIGINAL AND TORRES STRAIT ISLANDER
2021-06-30,2011-06-30,NSW,2011-06-30,NON_INDIGENOUS,AGE_STANDARDISED,age-standardised-imprisonment-rate,persons-per-100000-adult-population,150.4,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R19C2,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,NSW,2011,NON-INDIGENOUS,NON-INDIGENOUS
2021-06-30,2011-06-30,NSW,2011-06-30,TOTAL,RATE_RATIO,indigenous-to-non-indigenous-rate-ratio,ratio,9.7,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R31C2,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,NSW,2011,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER TO NON-INDIGENOUS
2021-06-30,2011-06-30,NT,2011-06-30,INDIGENOUS,AGE_STANDARDISED,age-standardised-imprisonment-rate,persons-per-100000-adult-population,2008.8,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R7C8,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,NT,2011,ABORIGINAL AND TORRES STRAIT ISLANDER,ABORIGINAL AND TORRES STRAIT ISLANDER
2021-06-30,2011-06-30,NT,2011-06-30,NON_INDIGENOUS,AGE_STANDARDISED,age-standardised-imprisonment-rate,persons-per-100000-adult-population,174.1,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_18,R19C8,sha256:a69d9454e0e14656b6a5590415beabf0173d0d180b44682d07224adf686a7375,prisoners-in-australia,sha256:561d073d593ccfec80025ca5ae8be2faca5a9cc1cb784106d1c2ed3ef48181d3,tidy.table-family-acceptance/v1,sha256:65108479cddea94a50e6f92f0f9ebf46e0f37a866c430a008fcddafe1ddb258a,sha256:25e962e5e45fbe56a24705f3d3e8cb622918679f3349ee2bec078af6bff64965,sha256:09717df09ecdb405e0f4ca24850cd158b922ea9562eb57287b804131242af4a9,human-authored/deterministic-geometry-v1,replay:sha256:07db54f73ba78057d7e695d38c88a57e1988699ca548ff35dffc91353a3a2851,NT,2011,NON-INDIGENOUS,NON-INDIGENOUS
