reference_date,jurisdiction_id,sex_id,indigenous_status_id,statistic_basis_id,rate_basis_id,measure_id,unit_id,value,value_status,raw_value,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_sex,raw_indigenous_status,raw_statistic_basis,raw_rate_basis
2021-06-30,ACT,FEMALE,INDIGENOUS,AGE_STANDARDISED,NOT_APPLICABLE,age-standardised-imprisonment-rate,persons-per-100000-adult-population,,suppressed,n.p.,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R27C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Females,Aboriginal and Torres Strait Islander,AGE STANDARDISED RATE,Aboriginal and Torres Strait Islander
2021-06-30,ACT,FEMALE,INDIGENOUS,CRUDE,NOT_APPLICABLE,crude-imprisonment-rate,persons-per-100000-adult-population,364.8,observed,364.8,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R13C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Females,Aboriginal and Torres Strait Islander,CRUDE RATE,Aboriginal and Torres Strait Islander
2021-06-30,ACT,FEMALE,NON_INDIGENOUS,AGE_STANDARDISED,NOT_APPLICABLE,age-standardised-imprisonment-rate,persons-per-100000-adult-population,,suppressed,n.p.,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R28C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Females,Non-Indigenous,AGE STANDARDISED RATE,Non-Indigenous
2021-06-30,ACT,FEMALE,NON_INDIGENOUS,CRUDE,NOT_APPLICABLE,crude-imprisonment-rate,persons-per-100000-adult-population,7.7,observed,7.7,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R14C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Females,Non-Indigenous,CRUDE RATE,Non-Indigenous
2021-06-30,ACT,FEMALE,TOTAL,CRUDE,NOT_APPLICABLE,crude-imprisonment-rate,persons-per-100000-adult-population,12.2,observed,12.2,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R15C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Females,Total,CRUDE RATE,Total
2021-06-30,ACT,FEMALE,TOTAL,RATE_RATIO,AGE_STANDARDISED,indigenous-to-non-indigenous-rate-ratio,ratio,,not_applicable,n.a.,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R40C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Females,Age-standardised,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,Age-standardised
2021-06-30,ACT,FEMALE,TOTAL,RATE_RATIO,CRUDE,indigenous-to-non-indigenous-rate-ratio,ratio,47.4,observed,47.4,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R39C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Females,Crude,RATIO OF ABORIGINAL AND TORRES STRAIT ISLANDER RATES TO NON-INDIGENOUS RATES,Crude
2021-06-30,ACT,MALE,INDIGENOUS,AGE_STANDARDISED,NOT_APPLICABLE,age-standardised-imprisonment-rate,persons-per-100000-adult-population,2894,observed,2894,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R23C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Males,Aboriginal and Torres Strait Islander,AGE STANDARDISED RATE,Aboriginal and Torres Strait Islander
2021-06-30,ACT,MALE,INDIGENOUS,CRUDE,NOT_APPLICABLE,crude-imprisonment-rate,persons-per-100000-adult-population,3214.7,observed,3214.7,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R8C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Males,Aboriginal and Torres Strait Islander,CRUDE RATE,Aboriginal and Torres Strait Islander
2021-06-30,ACT,MALE,NON_INDIGENOUS,AGE_STANDARDISED,NOT_APPLICABLE,age-standardised-imprisonment-rate,persons-per-100000-adult-population,165.2,observed,165.2,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_17,R24C9,sha256:a3443b1e7d01ce94a3309e5b1432d1f45ebe3432c94f2cb9e40ba7d87aa0d1f2,prisoners-in-australia,sha256:e55e4f53936f79cb8fb2e2d2fc3448ff7cc475a0a3407893f5f93d3363979e93,tidy.table-family-acceptance/v1,sha256:6d10429a7e89dca1a68cc04aecfa3bb270e0bc1c7449909b96a73253a22be3b9,sha256:86ebd93399aa7c110a292352a9943f41839be9a4a4747eafaba5a8ae56a2cb6c,sha256:4997ffdb42a95b8646879e93b5f84f799765ac16949f1c06824d50627facad3d,human-authored/deterministic-geometry-v1,replay:sha256:f654d34bb3aacf0861dddd0f55e63cd852dd22ed85ece24c457e94c4dbc1b4e9,ACT,Males,Non-Indigenous,AGE STANDARDISED RATE,Non-Indigenous
