publication_vintage_date,reference_date,jurisdiction_id,observation_period_id,sentence_statistic_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_observation_period,raw_sentence_statistic
2021-06-30,2011-06-30,ACT,2011-06-30,MEDIAN_SENTENCE_LENGTH,median-aggregate-sentence-length,year,2.5,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R93C6,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIAN CAPITAL TERRITORY,2011,Median
2021-06-30,2011-06-30,ACT,2011-06-30,SHARE_10_YEARS_PLUS,sentence-share-10-years-plus,percent,5.4,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R93C5,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIAN CAPITAL TERRITORY,2011,10 years & over
2021-06-30,2011-06-30,ACT,2011-06-30,SHARE_1_TO_UNDER_5_YEARS,sentence-share-1-to-under-5-years,percent,33,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R93C3,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIAN CAPITAL TERRITORY,2011,1 & under 5 years
2021-06-30,2011-06-30,ACT,2011-06-30,SHARE_5_TO_UNDER_10_YEARS,sentence-share-5-to-under-10-years,percent,10.8,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R93C4,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIAN CAPITAL TERRITORY,2011,5 & under 10 years
2021-06-30,2011-06-30,ACT,2011-06-30,SHARE_SENTENCED_LAST_12_MONTHS,share-sentenced-in-last-12-months,percent,74.1,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R93C7,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIAN CAPITAL TERRITORY,2011,Sentenced in last 12 months
2021-06-30,2011-06-30,ACT,2011-06-30,SHARE_UNDER_1_YEAR,sentence-share-under-1-year,percent,16.2,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R93C2,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIAN CAPITAL TERRITORY,2011,Under 1 year
2021-06-30,2011-06-30,ACT,2011-06-30,TOTAL_SENTENCED_PRISONERS,total-sentenced-prisoners,person,185,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R93C8,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIAN CAPITAL TERRITORY,2011,Total sentenced prisoners
2021-06-30,2011-06-30,AUS,2011-06-30,MEDIAN_SENTENCE_LENGTH,median-aggregate-sentence-length,year,3.2,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R105C6,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIA,2011,Median
2021-06-30,2011-06-30,AUS,2011-06-30,SHARE_10_YEARS_PLUS,sentence-share-10-years-plus,percent,13.1,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R105C5,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIA,2011,10 years & over
2021-06-30,2011-06-30,AUS,2011-06-30,SHARE_1_TO_UNDER_5_YEARS,sentence-share-1-to-under-5-years,percent,43.4,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_27,R105C3,sha256:bf24462ad3e5cf5e8062ceb360f9687248f362d106d89afe05446c8c2a95bb70,prisoners-in-australia,sha256:51957b8529ce412683c3d22e1d9031e44a5c535120289b19a65e03991ba5e656,tidy.table-family-acceptance/v1,sha256:eb2a4aacb258b1568d24ba770b60fac9f90391d33acbaa98d9db1b3a2ed1e747,sha256:dcc4591819cc080ae684a67f19786e15cd193b5c6a437086062f9c6d6a35e801,sha256:a0d4fdbe7ba02112d9c1249aaa9c0bac45277fb0d06158f27b1c63d211414eac,openai-codex/gpt-5.6-sol,replay:sha256:4507347f36bef9f50f32ad0229507b8438e28df1e4238ac4e6a463fc3b2b16ed,AUSTRALIA,2011,1 & under 5 years
