reference_date,jurisdiction_id,most_serious_charge_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_most_serious_charge
2021-06-30,ACT,ANZSOC_01,prisoner-count,person,8,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R6C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,01 Homicide and related offences
2021-06-30,ACT,ANZSOC_011,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R7C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,011 Murder
2021-06-30,ACT,ANZSOC_012,prisoner-count,person,4,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R8C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,012 Attempted murder
2021-06-30,ACT,ANZSOC_013,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R9C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,013 Manslaughter and driving causing death
2021-06-30,ACT,ANZSOC_02,prisoner-count,person,43,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R11C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,02 Acts intended to cause injury
2021-06-30,ACT,ANZSOC_021,prisoner-count,person,43,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R12C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,021 Assault
2021-06-30,ACT,ANZSOC_029,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R13C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,029 Other acts intended to cause injury
2021-06-30,ACT,ANZSOC_03,prisoner-count,person,12,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R15C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,03 Sexual assault and related offences
2021-06-30,ACT,ANZSOC_031,prisoner-count,person,9,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R16C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,031 Sexual assault
2021-06-30,ACT,ANZSOC_032,prisoner-count,person,5,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R17C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,032 Non-assaultive sexual offences
