reference_date,jurisdiction_id,sex_id,prison_location_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_sex,raw_prison_location
2021-06-30,ACT,FEMALE,LOCATION_ALEXANDER_MACONOCHIE_CENTRE,prisoner-count,person,21,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R185C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,AUSTRALIAN CAPITAL TERRITORY,Females,Alexander Maconochie Centre
2021-06-30,ACT,FEMALE,LOCATION_SUBTOTAL,prisoner-count,person,21,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R186C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,AUSTRALIAN CAPITAL TERRITORY,Females,Total
2021-06-30,ACT,FEMALE,TOTAL_PRISONERS,prisoner-count,person,379,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R187C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,AUSTRALIAN CAPITAL TERRITORY,Females,Total prisoners
2021-06-30,ACT,MALE,LOCATION_ALEXANDER_MACONOCHIE_CENTRE,prisoner-count,person,354,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R182C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,AUSTRALIAN CAPITAL TERRITORY,Males,Alexander Maconochie Centre
2021-06-30,ACT,MALE,LOCATION_SUBTOTAL,prisoner-count,person,354,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R183C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,AUSTRALIAN CAPITAL TERRITORY,Males,Total
2021-06-30,NSW,FEMALE,LOCATION_AMBER_LAUREL_CORRECTIONAL_CENTRE,prisoner-count,person,4,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R48C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,NEW SOUTH WALES,Females,Amber Laurel Correctional Centre
2021-06-30,NSW,FEMALE,LOCATION_BATHURST_CORRECTIONAL_CENTRE,prisoner-count,person,4,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R49C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,NEW SOUTH WALES,Females,Bathurst Correctional Centre
2021-06-30,NSW,FEMALE,LOCATION_BOLWARA_HOUSE_TRANSITIONAL_CENTRE,prisoner-count,person,12,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R50C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,NEW SOUTH WALES,Females,Bolwara House Transitional Centre
2021-06-30,NSW,FEMALE,LOCATION_BROKEN_HILL_CORRECTIONAL_CENTRE,prisoner-count,person,9,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R51C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,NEW SOUTH WALES,Females,Broken Hill Correctional Centre
2021-06-30,NSW,FEMALE,LOCATION_CLARENCE_CORRECTIONAL_CENTRE,prisoner-count,person,147,observed,sha256:9a5be165da58005a2a31634568491645192785a96f27d9eee3c17e45175d1710,Table_34,R52C2,sha256:f990ae14809783c05726c140f6f68519ddd9825f2a25c7f2156559c59e5675cc,prisoners-in-australia,sha256:83dd8271f4864e486e77f1c0e721f5de4e373d7e9305e8bde6b900808512e60b,tidy.table-family-acceptance/v1,sha256:a12afb1aa9693028ad0ff594196cd029202ba266346b5563d89f589917745643,sha256:3037001d8c959f2fc253675d3bb17359089a07f7c0c96074f635619add776d87,sha256:68df0a164dc3a52f9c8215cc7a520ac105d8fae8eecaa3480bffc5323b49db65,openai-codex/gpt-5.6-sol,replay:sha256:d35351d8acb2c0c215db289bffdab94443ec58cc1672493dd715cde7d4c86735,NEW SOUTH WALES,Females,Clarence Correctional Centre
