row,col,address,.value,corrections_population,quarter,measure_type,state
8,2,R8C2,11524,Males in full-time custody,Sep Qtr 23,Average daily number,NSW
8,3,R8C3,6108,Males in full-time custody,Sep Qtr 23,Average daily number,Vic.
8,4,R8C4,9368,Males in full-time custody,Sep Qtr 23,Average daily number,Qld
8,5,R8C5,2815,Males in full-time custody,Sep Qtr 23,Average daily number,SA
8,6,R8C6,6099,Males in full-time custody,Sep Qtr 23,Average daily number,WA
8,7,R8C7,707,Males in full-time custody,Sep Qtr 23,Average daily number,Tas.
8,8,R8C8,2018,Males in full-time custody,Sep Qtr 23,Average daily number,NT
8,9,R8C9,349,Males in full-time custody,Sep Qtr 23,Average daily number,ACT
8,10,R8C10,38989,Males in full-time custody,Sep Qtr 23,Average daily number,Aust.
9,2,R9C2,11944,Males in full-time custody,Jun Qtr 24,Average daily number,NSW
9,3,R9C3,5734,Males in full-time custody,Jun Qtr 24,Average daily number,Vic.
9,4,R9C4,9789,Males in full-time custody,Jun Qtr 24,Average daily number,Qld
9,5,R9C5,3085,Males in full-time custody,Jun Qtr 24,Average daily number,SA
9,6,R9C6,6835,Males in full-time custody,Jun Qtr 24,Average daily number,WA
9,7,R9C7,715,Males in full-time custody,Jun Qtr 24,Average daily number,Tas.
9,8,R9C8,2088,Males in full-time custody,Jun Qtr 24,Average daily number,NT
9,9,R9C9,387,Males in full-time custody,Jun Qtr 24,Average daily number,ACT
9,10,R9C10,40578,Males in full-time custody,Jun Qtr 24,Average daily number,Aust.
10,2,R10C2,12214,Males in full-time custody,Sep Qtr 24,Average daily number,NSW
10,3,R10C3,5583,Males in full-time custody,Sep Qtr 24,Average daily number,Vic.
10,4,R10C4,9831,Males in full-time custody,Sep Qtr 24,Average daily number,Qld
10,5,R10C5,3090,Males in full-time custody,Sep Qtr 24,Average daily number,SA
10,6,R10C6,6955,Males in full-time custody,Sep Qtr 24,Average daily number,WA
10,7,R10C7,724,Males in full-time custody,Sep Qtr 24,Average daily number,Tas.
10,8,R10C8,2111,Males in full-time custody,Sep Qtr 24,Average daily number,NT
10,9,R10C9,388,Males in full-time custody,Sep Qtr 24,Average daily number,ACT
10,10,R10C10,40897,Males in full-time custody,Sep Qtr 24,Average daily number,Aust.
12,2,R12C2,817,Females in full-time custody,Sep Qtr 23,Average daily number,NSW
12,3,R12C3,310,Females in full-time custody,Sep Qtr 23,Average daily number,Vic.
12,4,R12C4,1003,Females in full-time custody,Sep Qtr 23,Average daily number,Qld
12,5,R12C5,236,Females in full-time custody,Sep Qtr 23,Average daily number,SA
12,6,R12C6,657,Females in full-time custody,Sep Qtr 23,Average daily number,WA
12,7,R12C7,54,Females in full-time custody,Sep Qtr 23,Average daily number,Tas.
12,8,R12C8,128,Females in full-time custody,Sep Qtr 23,Average daily number,NT
12,9,R12C9,20,Females in full-time custody,Sep Qtr 23,Average daily number,ACT
12,10,R12C10,3226,Females in full-time custody,Sep Qtr 23,Average daily number,Aust.
13,2,R13C2,882,Females in full-time custody,Jun Qtr 24,Average daily number,NSW
13,3,R13C3,288,Females in full-time custody,Jun Qtr 24,Average daily number,Vic.
13,4,R13C4,1066,Females in full-time custody,Jun Qtr 24,Average daily number,Qld
13,5,R13C5,251,Females in full-time custody,Jun Qtr 24,Average daily number,SA
13,6,R13C6,767,Females in full-time custody,Jun Qtr 24,Average daily number,WA
13,7,R13C7,64,Females in full-time custody,Jun Qtr 24,Average daily number,Tas.
13,8,R13C8,129,Females in full-time custody,Jun Qtr 24,Average daily number,NT
13,9,R13C9,26,Females in full-time custody,Jun Qtr 24,Average daily number,ACT
13,10,R13C10,3473,Females in full-time custody,Jun Qtr 24,Average daily number,Aust.
14,2,R14C2,858,Females in full-time custody,Sep Qtr 24,Average daily number,NSW
14,3,R14C3,277,Females in full-time custody,Sep Qtr 24,Average daily number,Vic.
14,4,R14C4,1039,Females in full-time custody,Sep Qtr 24,Average daily number,Qld
14,5,R14C5,252,Females in full-time custody,Sep Qtr 24,Average daily number,SA
14,6,R14C6,778,Females in full-time custody,Sep Qtr 24,Average daily number,WA
14,7,R14C7,67,Females in full-time custody,Sep Qtr 24,Average daily number,Tas.
14,8,R14C8,125,Females in full-time custody,Sep Qtr 24,Average daily number,NT
14,9,R14C9,24,Females in full-time custody,Sep Qtr 24,Average daily number,ACT
14,10,R14C10,3420,Females in full-time custody,Sep Qtr 24,Average daily number,Aust.
16,2,R16C2,12341,Persons in full-time custody,Sep Qtr 23,Average daily number,NSW
16,3,R16C3,6419,Persons in full-time custody,Sep Qtr 23,Average daily number,Vic.
16,4,R16C4,10371,Persons in full-time custody,Sep Qtr 23,Average daily number,Qld
16,5,R16C5,3051,Persons in full-time custody,Sep Qtr 23,Average daily number,SA
16,6,R16C6,6757,Persons in full-time custody,Sep Qtr 23,Average daily number,WA
16,7,R16C7,761,Persons in full-time custody,Sep Qtr 23,Average daily number,Tas.
16,8,R16C8,2146,Persons in full-time custody,Sep Qtr 23,Average daily number,NT
16,9,R16C9,369,Persons in full-time custody,Sep Qtr 23,Average daily number,ACT
16,10,R16C10,42215,Persons in full-time custody,Sep Qtr 23,Average daily number,Aust.
17,2,R17C2,12826,Persons in full-time custody,Jun Qtr 24,Average daily number,NSW
17,3,R17C3,6023,Persons in full-time custody,Jun Qtr 24,Average daily number,Vic.
17,4,R17C4,10855,Persons in full-time custody,Jun Qtr 24,Average daily number,Qld
17,5,R17C5,3335,Persons in full-time custody,Jun Qtr 24,Average daily number,SA
17,6,R17C6,7603,Persons in full-time custody,Jun Qtr 24,Average daily number,WA
17,7,R17C7,778,Persons in full-time custody,Jun Qtr 24,Average daily number,Tas.
17,8,R17C8,2217,Persons in full-time custody,Jun Qtr 24,Average daily number,NT
17,9,R17C9,414,Persons in full-time custody,Jun Qtr 24,Average daily number,ACT
17,10,R17C10,44051,Persons in full-time custody,Jun Qtr 24,Average daily number,Aust.
18,2,R18C2,13072,Persons in full-time custody,Sep Qtr 24,Average daily number,NSW
18,3,R18C3,5861,Persons in full-time custody,Sep Qtr 24,Average daily number,Vic.
