row,col,address,.value,sex,sex_source,indigenous_status,indigenous_status_source,rate_type,rate_type_source,state,state_source
8,2,R8C2,3703.6,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,NSW,R5C2
8,3,R8C3,3161,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,Vic.,R5C3
8,4,R8C4,4090.3,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,Qld,R5C4
8,5,R8C5,4753.4,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,SA,R5C5
8,6,R8C6,6505.4,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,WA,R5C6
8,7,R8C7,1326,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,Tas.,R5C7
8,8,R8C8,5866.3,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,NT,R5C8
8,9,R8C9,3024.3,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,ACT,R5C9
8,10,R8C10,4302.6,Males,R7C1,Aboriginal and Torres Strait Islander,R8C1,CRUDE RATE,R6C1,Aust.,R5C10
9,2,R9C2,272.3,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,NSW,R5C2
9,3,R9C3,215.2,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,Vic.,R5C3
9,4,R9C4,283.4,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,Qld,R5C4
9,5,R9C5,306,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,SA,R5C5
9,6,R9C6,334.1,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,WA,R5C6
9,7,R9C7,213.1,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,Tas.,R5C7
9,8,R9C8,343.5,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,NT,R5C8
9,9,R9C9,152.8,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,ACT,R5C9
9,10,R9C10,265.6,Males,R7C1,Non-Indigenous,R9C1,CRUDE RATE,R6C1,Aust.,R5C10
10,2,R10C2,370.1,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,NSW,R5C2
10,3,R10C3,245.6,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,Vic.,R5C3
10,4,R10C4,424.6,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,Qld,R5C4
10,5,R10C5,402.4,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,SA,R5C5
10,6,R10C6,537.1,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,WA,R5C6
10,7,R10C7,261,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,Tas.,R5C7
10,8,R10C8,1908.4,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,NT,R5C8
10,9,R10C9,206.4,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,ACT,R5C9
10,10,R10C10,378.9,Males,R7C1,Total,R10C1,CRUDE RATE,R6C1,Aust.,R5C10
13,2,R13C2,346.7,Females,R12C1,Aboriginal and Torres Strait Islander,R13C1,CRUDE RATE,R6C1,NSW,R5C2
13,3,R13C3,172.8,Females,R12C1,Aboriginal and Torres Strait Islander,R13C1,CRUDE RATE,R6C1,Vic.,R5C3
13,4,R13C4,467.1,Females,R12C1,Aboriginal and Torres Strait Islander,R13C1,CRUDE RATE,R6C1,Qld,R5C4
13,5,R13C5,500.9,Females,R12C1,Aboriginal and Torres Strait Islander,R13C1,CRUDE RATE,R6C1,SA,R5C5
13,6,R13C6,694.2,Females,R12C1,Aboriginal and Torres Strait Islander,R13C1,CRUDE RATE,R6C1,WA,R5C6
13,7,R13C7,110.9,Females,R12C1,Aboriginal and Torres Strait Islander,R13C1,CRUDE RATE,R6C1,Tas.,R5C7
